Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-4.534573959102559670e-01,-4.648649184773828158e-01,-2.815812042419317263e-01,-7.344708660109001974e-02
2.001200000000000045e+01,-4.613096560236590871e-01,-4.515069041090376545e-01,-2.881273943379795699e-01,-7.351085746963703649e-02
2.002400000000000091e+01,-4.688161340883416073e-01,-4.379316390338109932e-01,-2.947088753625259905e-01,-7.339382216414483406e-02
2.003600000000000136e+01,-4.759687329134787426e-01,-4.241490274372627933e-01,-3.013203216921511718e-01,-7.309414823703676289e-02
2.004799999999999827e+01,-4.827596799559661922e-01,-4.101692992375909896e-01,-3.079563283661502227e-01,-7.261018184422522725e-02
2.005999999999999872e+01,-4.891815411147323323e-01,-3.960029964399721658e-01,-3.146114185426235332e-01,-7.194045081611047388e-02
2.007199999999999918e+01,-4.952272337437784167e-01,-3.816609588190982283e-01,-3.212800510767362949e-01,-7.108366731728496535e-02
2.008399999999999963e+01,-5.008900388427879324e-01,-3.671543089844049867e-01,-3.279566281935122340e-01,-7.003873008848891801e-02
2.009600000000000009e+01,-5.061636123882334859e-01,-3.524944368856638977e-01,-3.346355032269821561e-01,-6.880472626641116751e-02
2.010800000000000054e+01,-5.110419957723224549e-01,-3.376929838192116451e-01,-3.413109883972748615e-01,-6.738093277899755151e-02
2.012000000000000099e+01,-5.155196253217189106e-01,-3.227618259974666670e-01,-3.479773625970702944e-01,-6.576681731602225522e-02
2.013200000000000145e+01,-5.195913408727365068e-01,-3.077130577463354499e-01,-3.546288791588850797e-01,-6.396203887676954469e-02
2.014399999999999835e+01,-5.232523933846123798e-01,-2.925589743966857670e-01,-3.612597735748350747e-01,-6.196644789875913051e-02
2.015599999999999881e+01,-5.264984515774913110e-01,-2.773120549372300458e-01,-3.678642711408965926e-01,-5.978008597350185221e-02
2.016799999999999926e+01,-5.293256075868089106e-01,-2.619849444970164254e-01,-3.744365944981390415e-01,-5.740318515730765542e-02
2.017999999999999972e+01,-5.317303816309328912e-01,-2.465904367259684482e-01,-3.809709710441366859e-01,-5.483616688711955012e-02
2.019200000000000017e+01,-5.337097256939841161e-01,-2.311414561420307989e-01,-3.874616401884934391e-01,-5.207964051327553662e-02
2.020400000000000063e+01,-5.352610262308902245e-01,-2.156510405129834773e-01,-3.939028604273813738e-01,-4.913440146292789162e-02
2.021600000000000108e+01,-5.363821059067216401e-01,-2.001323233402064750e-01,-4.002889162130618406e-01,-4.600142904960478896e-02
2.022800000000000153e+01,-5.370712243872973746e-01,-1.845985165105000214e-01,-4.066141245955213201e-01,-4.268188394606189928e-02
2.023999999999999844e+01,-5.373270782028239934e-01,-1.690628931805345236e-01,-4.128728416146528191e-01,-3.917710533913255216e-02
2.025199999999999889e+01,-5.371487997109918311e-01,-1.535387709565882997e-01,-4.190594684228106104e-01,-3.548860778673322558e-02
2.026399999999999935e+01,-5.365359551903939872e-01,-1.380394954301341903e-01,-4.251684571190043060e-01,-3.161807779854470396e-02
2.027599999999999980e+01,-5.354885420994003331e-01,-1.225784241271669628e-01,-4.311943162776042948e-01,-2.756737016307752447e-02
2.028800000000000026e+01,-5.340069855396457621e-01,-1.071689109265480250e-01,-4.371316161559934965e-01,-2.333850404497362502e-02
2.030000000000000071e+01,-5.320921339670895422e-01,-9.182429099951583407e-02,-4.429749935672906980e-01,-1.893365887735634287e-02
2.031200000000000117e+01,-5.297452541971430229e-01,-7.655786631928671038e-02,-4.487191564059757609e-01,-1.435517007491369720e-02
2.032400000000000162e+01,-5.269680257536439871e-01,-6.138289178620914138e-02,-4.543588878159804945e-01,-9.605524594138123082e-03
2.033599999999999852e+01,-5.237625346144529903e-01,-4.631256201031129505e-02,-4.598890499925655795e-01,-4.687356367772252050e-03
2.034799999999999898e+01,-5.201312664091963800e-01,-3.135999878927906576e-02,-4.653045876110778467e-01,3.965583589922794597e-04
2.035999999999999943e+01,-5.160770991271347308e-01,-1.653823931610359788e-02,-4.706005308774153795e-01,5.643305762588611552e-03
2.037199999999999989e+01,-5.116032953953026929e-01,-1.860225146499057750e-03,-4.757719981968367429e-01,1.104983921720478421e-02
2.038400000000000034e+01,-5.067134943890239107e-01,1.266120804770178195e-02,-4.808141984594306306e-01,1.661298408451112804e-02
2.039600000000000080e+01,-5.014117034385163763e-01,2.701333991715483204e-02,-4.857224329423069364e-01,2.232944248845420906e-02
2.040800000000000125e+01,-4.957022893967620858e-01,4.118357404767880592e-02,-4.904920968302443618e-01,2.819579804655893487e-02
2.042000000000000171e+01,-4.895899698349564511e-01,5.515944573318279365e-02,-4.951186803581691387e-01,3.420852052923886721e-02
2.043199999999999861e+01,-4.830798041328293047e-01,6.892862889913195512e-02,-4.995977695804539320e-01,4.036397041873505953e-02
2.044399999999999906e+01,-4.761771845318709118e-01,8.247894217093619529e-02,-5.039250467735859607e-01,4.665840333949486385e-02
2.045599999999999952e+01,-4.688878272201108532e-01,9.579835408559166099e-02,-5.080962904802657221e-01,5.308797433198715610e-02
2.046799999999999997e+01,-4.612177635174426471e-01,1.088749874490238523e-01,-5.121073752045021132e-01,5.964874194227242493e-02
2.048000000000000043e+01,-4.531733312308371953e-01,1.216971228453597037e-01,-5.159542707686832763e-01,6.633667209986693347e-02
2.049200000000000088e+01,-4.447611662489095452e-01,1.342532013083003739e-01,-5.196330413450098717e-01,7.314764175677336555e-02
2.050400000000000134e+01,-4.359881944453911640e-01,1.465318261685375489e-01,-5.231398441750582107e-01,8.007744226084091699e-02
2.051599999999999824e+01,-4.268616239610686369e-01,1.585217640949013462e-01,-5.264709279925664509e-01,8.712178243690926749e-02
2.052799999999999869e+01,-4.173889379337090699e-01,1.702119453506493185e-01,-5.296226311658728259e-01,9.427629134948441181e-02
2.053999999999999915e+01,-4.075778877454967475e-01,1.815914632898945336e-01,-5.325913795777328374e-01,1.015365207209007192e-01
2.055199999999999960e+01,-3.974364868573880272e-01,1.926495731229400932e-01,-5.353736842615888225e-01,1.088979469792124843e-01
2.056400000000000006e+01,-3.869730052998825998e-01,2.033756899828067788e-01,-5.379661388146632639e-01,1.163559729101589779e-01
2.057600000000000051e+01,-3.761959648897166830e-01,2.137593863289958263e-01,-5.403654166096297784e-01,1.239059288877093767e-01
2.058800000000000097e+01,-3.651141352421429787e-01,2.237903887282275683e-01,-5.425682678280209226e-01,1.315430736577477278e-01
2.060000000000000142e+01,-3.537365306487014749e-01,2.334585740557341138e-01,-5.445715163399973413e-01,1.392625946494542022e-01
2.061199999999999832e+01,-3.420724078907450005e-01,2.427539651646300756e-01,-5.463720564566805216e-01,1.470596077888789710e-01
2.062399999999999878e+01,-3.301312650594571130e-01,2.516667260750493629e-01,-5.479668495828915464e-01,1.549291567890759558e-01
2.063599999999999923e+01,-3.179228414538045056e-01,2.601871567390319218e-01,-5.493529207999704456e-01,1.628662118909154632e-01
2.064799999999999969e+01,-3.054571186285450768e-01,2.683056874418986437e-01,-5.505273554102968481e-01,1.708656680284932894e-01
2.066000000000000014e+01,-2.927443226654813935e-01,2.760128729057538810e-01,-5.514872954772889191e-01,1.789223423926336320e-01
2.067200000000000060e+01,-2.797949277421911130e-01,2.832993861662296831e-01,-5.522299363970443187e-01,1.870309713656238826e-01
2.068400000000000105e+01,-2.666196610737552875e-01,2.901560122994850111e-01,-5.527525235404220361e-01,1.951862067998496320e-01
2.069600000000000151e+01,-2.532295093044040768e-01,2.965736420829764297e-01,-5.530523490072982717e-01,2.033826116125034555e-01
2.070799999999999841e+01,-2.396357264275255083e-01,3.025432656806810172e-01,-5.531267485380250148e-01,2.116146546680224561e-01
2.071999999999999886e+01,-2.258498433140720130e-01,3.080559664514286311e-01,-5.529730986307599405e-01,2.198767049194030321e-01
2.073199999999999932e+01,-2.118836789311342450e-01,3.131029149877871953e-01,-5.525888139174699454e-01,2.281630247789991350e-01
2.074399999999999977e+01,-1.977493533339662046e-01,3.176753635028658485e-01,-5.519713448559652180e-01,2.364677626890564766e-01
2.075600000000000023e+01,-1.834593025164619751e-01,3.217646406933205583e-01,-5.511181758004863873e-01,2.447849448618132917e-01
2.076800000000000068e+01,-1.690262952064063018e-01,3.253621472191499109e-01,-5.500268235190848287e-01,2.531084661588586804e-01
2.078000000000000114e+01,-1.544634516929951351e-01,3.284593519545573881e-01,-5.486948362324527428e-01,2.614320800794402988e-01
2.079200000000000159e+01,-1.397842647748546718e-01,3.310477891794481042e-01,-5.471197932560084576e-01,2.697493878277117396e-01
2.080399999999999849e+01,-1.250026229169705350e-01,3.331190568981884370e-01,-5.452993053349873831e-01,2.780538264295667195e-01
2.081599999999999895e+01,-1.101328357043322714e-01,3.346648164912663370e-01,-5.432310157711314202e-01,2.863386558708398977e-01
2.082799999999999940e+01,-9.518966167863703032e-02,3.356767939266322442e-01,-5.409126024493720042e-01,2.945969452303159875e-01
