Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-4.302213881425500652e-01,1.656701922822104711e-01,-5.862554875009806654e-01,4.450376019653850407e-02
2.001200000000000045e+01,-4.229916285408443777e-01,1.770445617858007192e-01,-5.893728626749104027e-01,5.098240832715579540e-02
2.002400000000000091e+01,-4.155198627406614942e-01,1.881754682758319808e-01,-5.923416959150792360e-01,5.751967068443218645e-02
2.003600000000000136e+01,-4.078140100650647915e-01,1.990587561818673301e-01,-5.951617506877574515e-01,6.411160750097007199e-02
2.004799999999999827e+01,-3.998819676493602926e-01,2.096905411370425798e-01,-5.978328976685323148e-01,7.075434381366288439e-02
2.005999999999999872e+01,-3.917316011909970364e-01,2.200672019203385454e-01,-6.003551092392920285e-01,7.744407200340390485e-02
2.007199999999999918e+01,-3.833707362920589778e-01,2.301853721546420206e-01,-6.027284539927680873e-01,8.417705400654960923e-02
2.008399999999999963e+01,-3.748071503915764713e-01,2.400419317939859187e-01,-6.049530912604357269e-01,9.094962320790096755e-02
2.009600000000000009e+01,-3.660485652833037062e-01,2.496339984319717875e-01,-6.070292656783374818e-01,9.775818602539410040e-02
2.010800000000000054e+01,-3.571026402130755284e-01,2.589589184621643447e-01,-6.089573018042644392e-01,1.045992231971344111e-01
2.012000000000000099e+01,-3.479769655485104862e-01,2.680142581197970664e-01,-6.107375987985614874e-01,1.114692907816904194e-01
2.013200000000000145e+01,-3.386790570126431699e-01,2.767977944327644768e-01,-6.123706251797225164e-01,1.183650208827776856e-01
2.014399999999999835e+01,-3.292163504719708977e-01,2.853075061083886754e-01,-6.138569136648451829e-01,1.252831221095788983e-01
2.015599999999999881e+01,-3.195961972685154029e-01,2.935415643810203590e-01,-6.151970561039776797e-01,1.322203797840029726e-01
2.016799999999999926e+01,-3.098258600847038080e-01,3.014983238440160362e-01,-6.163916985163723217e-01,1.391736559061111655e-01
2.017999999999999972e+01,-2.999125093292016597e-01,3.091763132882355825e-01,-6.174415362357147385e-01,1.461398888889033076e-01
2.019200000000000017e+01,-2.898632200313345231e-01,3.165742265676746436e-01,-6.183473091704705382e-01,1.531160930734233316e-01
2.020400000000000063e+01,-2.796849692313408964e-01,3.236909135114579006e-01,-6.191097971846354353e-01,1.600993580349631129e-01
2.021600000000000108e+01,-2.693846338533958384e-01,3.305253708999999485e-01,-6.197298156033582694e-01,1.670868476908517752e-01
2.022800000000000153e+01,-2.589689890482037571e-01,3.370767335217679239e-01,-6.202082108471544952e-01,1.740757992199997717e-01
2.023999999999999844e+01,-2.484447069919015205e-01,3.433442653257482435e-01,-6.205458561977077458e-01,1.810635218040008432e-01
2.025199999999999889e+01,-2.378183561280300118e-01,3.493273506834613240e-01,-6.207436476976143647e-01,1.880473951992081560e-01
2.026399999999999935e+01,-2.270964008395588152e-01,3.550254857730904545e-01,-6.208025001858327174e-01,1.950248681487218860e-01
2.027599999999999980e+01,-2.162852015380611337e-01,3.604382700971988651e-01,-6.207233434700403230e-01,2.019934566428393807e-01
2.028800000000000026e+01,-2.053910151575809306e-01,3.655653981443272582e-01,-6.205071186366214464e-01,2.089507420359536793e-01
2.030000000000000071e+01,-1.944199960410610550e-01,3.704066512037704761e-01,-6.201547744985750343e-01,2.158943690274280347e-01
2.031200000000000117e+01,-1.833781972077174471e-01,3.749618893418473764e-01,-6.196672641812369653e-01,2.228220435134257993e-01
2.032400000000000162e+01,-1.722715719902702947e-01,3.792310435470819807e-01,-6.190455418453892911e-01,2.297315303161417965e-01
2.033599999999999852e+01,-1.611059760315887435e-01,3.832141080508825737e-01,-6.182905595470447047e-01,2.366206507963223848e-01
2.034799999999999898e+01,-1.498871696309330703e-01,3.869111328295949948e-01,-6.174032642329696507e-01,2.434872803544129438e-01
2.035999999999999943e+01,-1.386208204307983194e-01,3.903222162930832240e-01,-6.163845948708209788e-01,2.503293458250575587e-01
2.037199999999999989e+01,-1.273125064360211556e-01,3.934474981644768277e-01,-6.152354797126483588e-01,2.571448227691717214e-01
2.038400000000000034e+01,-1.159677193577833554e-01,3.962871525551897589e-01,-6.139568336904399626e-01,2.639317326671558606e-01
2.039600000000000080e+01,-1.045918682759207907e-01,3.988413812389037250e-01,-6.125495559423382863e-01,2.706881400162747253e-01
2.040800000000000125e+01,-9.319028361392131532e-02,4.011104071279188998e-01,-6.110145274681836325e-01,2.774121493346353162e-01
2.042000000000000171e+01,-8.176822142193700127e-02,4.030944679550219623e-01,-6.093526089131040546e-01,2.841019020736060829e-01
2.043199999999999861e+01,-7.033086796414490804e-02,4.047938101638989261e-01,-6.075646384779719300e-01,2.907555734399424052e-01
2.044399999999999906e+01,-5.888334460777201740e-02,4.062086830110968050e-01,-6.056514299557193004e-01,2.973713691283096372e-01
2.045599999999999952e+01,-4.743071301226735315e-02,4.073393328825659632e-01,-6.036137708927065137e-01,3.039475219642782666e-01
2.046799999999999997e+01,-3.597798061802993941e-02,4.081859978280520940e-01,-6.014524208745919420e-01,3.104822884573584241e-01
2.048000000000000043e+01,-2.453010643537127666e-02,4.087489023168018321e-01,-5.991681099364645213e-01,3.169739452629985466e-01
2.049200000000000088e+01,-1.309200713542279376e-02,4.090282522185132441e-01,-5.967615370973683442e-01,3.234207855519532493e-01
2.050400000000000134e+01,-1.668563445906211555e-03,4.090242300139256271e-01,-5.942333690197387774e-01,3.298211152848432581e-01
2.051599999999999824e+01,9.735373144156527284e-03,4.087369902400881383e-01,-5.915842387947720660e-01,3.361732493891782525e-01
2.052799999999999869e+01,2.111497336554256365e-02,4.081666551761217177e-01,-5.888147448552473184e-01,3.424755078355833926e-01
2.053999999999999915e+01,3.246542282921258127e-02,4.073133107761823801e-01,-5.859254500179437164e-01,3.487262116093806097e-01
2.055199999999999960e+01,4.378191435834574013e-02,4.061770028573790103e-01,-5.829168806584175133e-01,3.549236785732230448e-01
2.056400000000000006e+01,5.505963998307458057e-02,4.047577335516164276e-01,-5.797895260216534563e-01,3.610662192158844985e-01
2.057600000000000051e+01,6.629378258778405308e-02,4.030554580317006752e-01,-5.765438376728988512e-01,3.671521322818477873e-01
2.058800000000000097e+01,7.747950719961774202e-02,4.010700815235928030e-01,-5.731802290938569078e-01,3.731797002758289739e-01
2.060000000000000142e+01,8.861195190560725021e-02,3.988014566184447385e-01,-5.696990754303912219e-01,3.791471848359009300e-01
2.061199999999999832e+01,9.968621838464540585e-02,3.962493808999948963e-01,-5.661007133989415241e-01,3.850528219684285491e-01
2.062399999999999878e+01,1.106973620393600782e-01,3.934135949050742709e-01,-5.623854413599894686e-01,3.908948171376148695e-01
2.063599999999999923e+01,1.216403817117413244e-01,3.902937804373878272e-01,-5.585535195682125309e-01,3.966713402020276003e-01
2.064799999999999969e+01,1.325102089653849846e-01,3.868895592573911024e-01,-5.546051706102682610e-01,4.023805201901719530e-01
2.066000000000000014e+01,1.433016969160510190e-01,3.832004921740440051e-01,-5.505405800427085605e-01,4.080204399068075860e-01
2.067200000000000060e+01,1.540096085913483237e-01,3.792260785674632650e-01,-5.463598972441199297e-01,4.135891303614771530e-01
2.068400000000000105e+01,1.646286047994443835e-01,3.749657563750788403e-01,-5.420632364973516637e-01,4.190845650105001208e-01
2.069600000000000151e+01,1.751532314859504946e-01,3.704189025778167887e-01,-5.376506783196376427e-01,4.245046538035635031e-01
2.070799999999999841e+01,1.855779065575079712e-01,3.655848342271562079e-01,-5.331222710604989201e-01,4.298472370259937558e-01
2.071999999999999886e+01,1.958969061501733833e-01,3.604628100586066974e-01,-5.284780327895751695e-01,4.351100789278707359e-01
2.073199999999999932e+01,2.061043503204034177e-01,3.550520327423609679e-01,-5.237179534990300533e-01,4.402908611312932874e-01
2.074399999999999977e+01,2.161941881365606333e-01,3.493516518274567551e-01,-5.188419976478059192e-01,4.453871758074792742e-01
2.075600000000000023e+01,2.261601821490617226e-01,3.433607674420040556e-01,-5.138501070779187829e-01,4.503965186158265244e-01
2.076800000000000068e+01,2.359958922180327989e-01,3.370784348186989243e-01,-5.087422043361177204e-01,4.553162813977739698e-01
2.078000000000000114e+01,2.456946586784012621e-01,3.305036697221641062e-01,-5.035181964375881059e-01,4.601437446191998237e-01
2.079200000000000159e+01,2.552495848239461629e-01,3.236354548625626770e-01,-4.981779791120406475e-01,4.648760695562756950e-01
2.080399999999999849e+01,2.646535186940092155e-01,3.164727473885540765e-01,-4.927214415764410993e-01,4.695102902211710227e-01
2.081599999999999895e+01,2.738990341494357272e-01,3.090144875618990872e-01,-4.871484718828394400e-01,4.740433050258485159e-01
2.082799999999999940e+01,2.829784112279269959e-01,3.012596087261421585e-01,-4.814589628942988475e-01,4.784718681844085109e-01
2.083999999999999986e+01,2.918836157736686698e-01,2.932070486925124619e-01,-4.756528189467083556e-01,4.827925808572045563e-01
2.085200000000000031e+01,3.006062783416724726e-01,2.848557626778589480e-01,-4.697299632594419405e-01,4.870018820431662454e-01
2.086400000000000077e+01,3.091376723842398366e-01,2.762047379418455795e-01,-4.636903461632683743e-01,4.910960392306791822e-01
2.087600000000000122e+01,3.174686917353173321e-01,2.672530102838948651e-01,-4.575339542196926734e-01,4.950711388219573017e-01
2.088800000000000168e+01,3.255898274184953478e-01,2.579996825744502176e-01,-4.512608203119872208e-01,4.989230763512562672e-01
2.089999999999999858e+01,3.334911438163657982e-01,2.484439455100774796e-01,-4.448710347945288301e-01,5.026475465236162066e-01
2.091199999999999903e+01,3.411622542530268198e-01,2.385851007975528515e-01,-4.383647577936613526e-01,5.062400331082169691e-01
2.092399999999999949e+01,3.485922960580617458e-01,2.284225869885732063e-01,-4.317422327601424525e-01,5.096957987289900682e-01
2.093599999999999994e+01,3.557699051998029494e-01,2.179560082036313962e-01,-4.250038013801507586e-01,5.130098746050996139e-01
2.094800000000000040e+01,3.626831905981868220e-01,2.071851660011978513e-01,-4.181499199588905591e-01,5.161770503053018100e-01
2.096000000000000085e+01,3.693197082537574838e-01,1.961100946660918054e-01,-4.111811773977865347e-01,5.191918635933577830e-01
2.097200000000000131e+01,3.756664353596236849e-01,1.847311002087752563e-01,-4.040983148930568092e-01,5.220485904566914970e-01
2.098400000000000176e+01,3.817097445979696912e-01,1.730488033848760765e-01,-3.969022474898907249e-01,5.247412354276348445e-01
