Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-4.848541717434157738e-01,-3.655291231161125198e-01,-3.347486891064644365e-01,-7.137140736777496108e-02
2.001200000000000045e+01,-4.906837148175974828e-01,-3.507532318603150956e-01,-3.416277918028080562e-01,-7.029418699447675944e-02
2.002400000000000091e+01,-4.960935565281888171e-01,-3.358299254180905913e-01,-3.484986657269514287e-01,-6.901427258093983941e-02
2.003600000000000136e+01,-5.010788926769164098e-01,-3.207729227649641079e-01,-3.553549218616529060e-01,-6.753189828261237093e-02
2.004799999999999827e+01,-5.056354464467132104e-01,-3.055960818830075199e-01,-3.621902014071409770e-01,-6.584752562964162059e-02
2.005999999999999872e+01,-5.097594698321439299e-01,-2.903133747874514503e-01,-3.689981853996339711e-01,-6.396184009560113015e-02
2.007199999999999918e+01,-5.134477436238095160e-01,-2.749388628254537115e-01,-3.757726040144737656e-01,-6.187574717247112943e-02
2.008399999999999963e+01,-5.166975759864510520e-01,-2.594866723420576338e-01,-3.825072455249944881e-01,-5.959036797857044515e-02
2.009600000000000009e+01,-5.195067996770524887e-01,-2.439709708040029013e-01,-3.891959648904690372e-01,-5.710703442790867473e-02
2.010800000000000054e+01,-5.218737679553347997e-01,-2.284059434670134836e-01,-3.958326919489297824e-01,-5.442728399094779596e-02
2.012000000000000099e+01,-5.237973492445822110e-01,-2.128057706668409210e-01,-4.024114391931197243e-01,-5.155285407808545689e-02
2.013200000000000145e+01,-5.252769206057332774e-01,-1.971846058086396125e-01,-4.089263091103605974e-01,-4.848567607826847342e-02
2.014399999999999835e+01,-5.263123600920658340e-01,-1.815565541232639635e-01,-4.153715010696998888e-01,-4.522786908602433736e-02
2.015599999999999881e+01,-5.269040380556369030e-01,-1.659356522528492861e-01,-4.217413177422889570e-01,-4.178173335085237639e-02
2.016799999999999926e+01,-5.270528074798486173e-01,-1.503358487217711925e-01,-4.280301710434873397e-01,-3.814974348338596305e-02
2.017999999999999972e+01,-5.267599934151632191e-01,-1.347709853424579052e-01,-4.342325875878054187e-01,-3.433454145294294324e-02
2.019200000000000017e+01,-5.260273815970384348e-01,-1.192547795991943105e-01,-4.403432136502448135e-01,-3.033892941116040839e-02
2.020400000000000063e+01,-5.248572063266480070e-01,-1.038008080464712241e-01,-4.463568196300961022e-01,-2.616586237624010311e-02
2.021600000000000108e+01,-5.232521376958914061e-01,-8.842249075203954811e-02,-4.522683040156106338e-01,-2.181844081201335731e-02
2.022800000000000153e+01,-5.212152682386279601e-01,-7.313307680851481585e-02,-4.580726968502772944e-01,-1.729990313553985901e-02
2.023999999999999844e+01,-5.187500990899892583e-01,-5.794563093122102881e-02,-4.637651627036138424e-01,-1.261361818630896484e-02
2.025199999999999889e+01,-5.158605257350903361e-01,-4.287302115396707941e-02,-4.693410031514963499e-01,-7.763077689314338420e-03
2.026399999999999935e+01,-5.125508234275060193e-01,-2.792790762880557540e-02,-4.747956587729770250e-01,-2.751888743388310622e-03
2.027599999999999980e+01,-5.088256323564970263e-01,-1.312273253018730705e-02,-4.801247106724506608e-01,2.416233634891944409e-03
2.028800000000000026e+01,-5.046899426402845501e-01,1.530288941113208505e-03,-4.853238815376849646e-01,7.737473882488632437e-03
2.030000000000000071e+01,-5.001490792206377822e-01,1.601917646391229355e-02,-4.903890362458455110e-01,1.320792314837251902e-02
2.031200000000000117e+01,-4.952086867317265217e-01,3.033219142652220091e-02,-4.953161820310837959e-01,1.882358641243270236e-02
