Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-4.500322127888555235e-01,-3.611177996558961323e-01,-3.308463107901370437e-01,-5.356289417442329504e-02
2.001200000000000045e+01,-4.550636514997319360e-01,-3.453147222596039678e-01,-3.380322882954643893e-01,-5.169277562018837618e-02
2.002400000000000091e+01,-4.596548178798453566e-01,-3.293515667495967580e-01,-3.452376876466874411e-01,-4.963936681471004669e-02
2.003600000000000136e+01,-4.637950995091245643e-01,-3.132438144163490756e-01,-3.524498773995517475e-01,-4.739957689616829117e-02
2.004799999999999827e+01,-4.674744105781036274e-01,-2.970073298853120880e-01,-3.596566607178589003e-01,-4.497001495670409354e-02
2.005999999999999872e+01,-4.706832316923847959e-01,-2.806583469834709188e-01,-3.668463170526272132e-01,-4.234716304049428864e-02
2.007199999999999918e+01,-4.734126469006244009e-01,-2.642134539110481128e-01,-3.740076095934601885e-01,-3.952753070106643923e-02
2.008399999999999963e+01,-4.756543778392779420e-01,-2.476895775094325736e-01,-3.811297679537703487e-01,-3.650778680590195668e-02
2.009600000000000009e+01,-4.774008149335757234e-01,-2.311039664560722018e-01,-3.882024546737745108e-01,-3.328486723938971908e-02
2.010800000000000054e+01,-4.786450456362659756e-01,-2.144741732486882546e-01,-3.952157227388608529e-01,-2.985605930466803462e-02
2.012000000000000099e+01,-4.793808797147242062e-01,-1.978180349012057526e-01,-4.021599696951010938e-01,-2.621906494569605645e-02
2.013200000000000145e+01,-4.796028716355240085e-01,-1.811536522917091274e-01,-4.090258924360704040e-01,-2.237204561697698005e-02
2.014399999999999835e+01,-4.793063400952813358e-01,-1.644993681635742722e-01,-4.158044453791424622e-01,-1.831365183442694791e-02
2.015599999999999881e+01,-4.784873847866387142e-01,-1.478737438069873400e-01,-4.224868036674938598e-01,-1.404304036875542346e-02
2.016799999999999926e+01,-4.771429004722140266e-01,-1.312955344763955534e-01,-4.290643321976623237e-01,-9.559881731838739891e-03
2.017999999999999972e+01,-4.752705884726218799e-01,-1.147836636423830853e-01,-4.355285606787640540e-01,-4.864360268168686774e-03
2.019200000000000017e+01,-4.728689656594660673e-01,-9.835719618167199085e-02,-4.418711645236640950e-01,4.283124136674311758e-05
2.020400000000000063e+01,-4.699373710564581086e-01,-8.203531064396830941e-02,-4.480839511073604342e-01,5.160500939677540796e-03
2.021600000000000108e+01,-4.664759701570307948e-01,-6.583727073872683300e-02,-4.541588508162365811e-01,1.048697000383782066e-02
