Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,1.238594677409922962e-01,3.553020329059400906e-01,-5.859293639713574198e-01,3.471911925017630018e-01
2.001200000000000045e+01,1.370156884795853958e-01,3.528820517467043949e-01,-5.819507541579239662e-01,3.543976027188442957e-01
2.002400000000000091e+01,1.500067524115587247e-01,3.500761880073665622e-01,-5.777859829073617171e-01,3.614489546729418579e-01
2.003600000000000136e+01,1.628266093222422717e-01,3.468946315814397940e-01,-5.734451686767847445e-01,3.683425173880865433e-01
2.004799999999999827e+01,1.754697071249750884e-01,3.433472027126814319e-01,-5.689380058617810043e-01,3.750762692264715259e-01
2.005999999999999872e+01,1.879309409495055205e-01,3.394433444971395319e-01,-5.642737321216186874e-01,3.816488174357486329e-01
2.007199999999999918e+01,2.002056044534354928e-01,3.351921186185696233e-01,-5.594611054302188746e-01,3.880593202258418306e-01
2.008399999999999963e+01,2.122893433713885225e-01,3.306022039678192526e-01,-5.545083897736861056e-01,3.943074121583072245e-01
2.009600000000000009e+01,2.241781112900924078e-01,3.256818978259391484e-01,-5.494233484304236192e-01,4.003931334289469457e-01
2.010800000000000054e+01,2.358681276162346852e-01,3.204391193196008958e-01,-5.442132438093637559e-01,4.063168634462929196e-01
2.012000000000000099e+01,2.473558376861939578e-01,3.148814148850213601e-01,-5.388848428792797352e-01,4.120792589549218676e-01
2.013200000000000145e+01,2.586378749530988674e-01,3.090159655037241770e-01,-5.334444272917836516e-01,4.176811968230015881e-01
2.014399999999999835e+01,2.697110251755678867e-01,3.028495954988060790e-01,-5.278978073783766600e-01,4.231237215067129576e-01
2.015599999999999881e+01,2.805721925250099780e-01,2.963887827048380941e-01,-5.222503392830447622e-01,4.284079971180396185e-01
2.016799999999999926e+01,2.912183675222663748e-01,2.896396698474286713e-01,-5.165069445742660470e-01,4.335352639551277032e-01
2.017999999999999972e+01,3.016465967114352331e-01,2.826080769897468814e-01,-5.106721317606655042e-01,4.385067993039540868e-01
2.019200000000000017e+01,3.118539539765982638e-01,2.752995149237930095e-01,-5.047500192120417672e-01,4.433238822832438197e-01
2.020400000000000063e+01,3.218375134073694355e-01,2.677191994024695210e-01,-4.987443590596596366e-01,4.479877624809504577e-01
2.021600000000000108e+01,3.315943236201585598e-01,2.598720661262777787e-01,-4.926585617174355503e-01,4.524996321160037471e-01
2.022800000000000153e+01,3.411213834443320714e-01,2.517627864143337502e-01,-4.864957207264362093e-01,4.568606014537925919e-01
2.023999999999999844e+01,3.504156188858036924e-01,2.433957835044372464e-01,-4.802586376809139246e-01,4.610716772045895806e-01
2.025199999999999889e+01,3.594738612844550762e-01,2.347752494406277479e-01,-4.739498470430220656e-01,4.651337436403921166e-01
2.026399999999999935e+01,3.682928265866050599e-01,2.259051625196262514e-01,-4.675716406972542094e-01,4.690475461761252074e-01
2.027599999999999980e+01,3.768690956590777796e-01,2.167893052789844066e-01,-4.611260921334755514e-01,4.728136771740547029e-01
2.028800000000000026e+01,3.851990955770924763e-01,2.074312830210168490e-01,-4.546150801805767805e-01,4.764325637459495555e-01
2.030000000000000071e+01,3.932790818247684506e-01,1.978345428763874370e-01,-4.480403122410696048e-01,4.799044573439836259e-01
2.031200000000000117e+01,4.011051213534292947e-01,1.880023934207254999e-01,-4.414033470009473548e-01,4.832294249491447258e-01
2.032400000000000162e+01,4.086730764502843338e-01,1.779380248661276975e-01,-4.347056166097229557e-01,4.864073416835723029e-01
2.033599999999999852e+01,4.159785893774238241e-01,1.676445298574943676e-01,-4.279484483421650554e-01,4.894378846915097281e-01
2.034799999999999898e+01,4.230170677489846764e-01,1.571249249110105439e-01,-4.211330857675726902e-01,4.923205281509636100e-01
2.035999999999999943e+01,4.297836706226055292e-01,1.463821725390811457e-01,-4.142607094636535092e-01,4.950545392956543500e-01
2.037199999999999989e+01,4.362732952901071104e-01,1.354192041121791146e-01,-4.073324573213103483e-01,4.976389753435231933e-01
2.038400000000000034e+01,4.424805647613217485e-01,1.242389435142678689e-01,-4.003494444937904517e-01,5.000726812443575531e-01
2.039600000000000080e+01,4.483998159448467913e-01,1.128443316536194563e-01,-3.933127830492472166e-01,5.023542881744712529e-01
2.040800000000000125e+01,4.540250885394692126e-01,1.012383518960627560e-01,-3.862236013898343034e-01,5.044822127214979579e-01
2.042000000000000171e+01,4.593501146610304842e-01,8.942405649207237073e-02,-3.790830635031482987e-01,5.064546567166310354e-01
2.043199999999999861e+01,4.643683092407231983e-01,7.740459407319029428e-02,-3.718923881137475296e-01,5.082696076854292810e-01
2.044399999999999906e+01,4.690727612431106475e-01,6.518323829684112558e-02,-3.646528678030723780e-01,5.099248399017167754e-01
2.045599999999999952e+01,4.734562257650146710e-01,5.276341772153686493e-02,-3.573658881660920494e-01,5.114179160419580761e-01
2.046799999999999997e+01,4.775111170902876512e-01,4.014874699676004854e-02,-3.500329470720604519e-01,5.127461894501104123e-01
2.048000000000000043e+01,4.812295027901837274e-01,2.734305945357379947e-02,-3.426556740952028668e-01,5.139068070352902362e-01
2.049200000000000088e+01,4.846030989748328910e-01,1.435044118273097469e-02,-3.352358501787841560e-01,5.148967128366875867e-01
2.050400000000000134e+01,4.876232668181739172e-01,1.175266687066678839e-03,-3.277754275930274686e-01,5.157126523023047859e-01
2.051599999999999824e+01,4.902810104967515459e-01,-1.217776380621895388e-02,-3.202765502435518385e-01,5.163511773399865890e-01
2.052799999999999869e+01,4.925669767020803280e-01,-2.570358529015082799e-02,-3.127415743825048833e-01,5.168086522113704007e-01
2.053999999999999915e+01,4.944714559068705273e-01,-3.939672709989213567e-02,-3.051730897692275235e-01,5.170812603514464145e-01
2.055199999999999960e+01,4.959843855874511709e-01,-5.325127013798849201e-02,-2.975739413209666506e-01,5.171650122087416701e-01
2.056400000000000006e+01,4.970953556281255681e-01,-6.726080213611175529e-02,-2.899472512869306073e-01,5.170557542135759688e-01
2.057600000000000051e+01,4.977936161581186791e-01,-8.141837089603219668e-02,-2.822964419705522032e-01,5.167491789945202196e-01
2.058800000000000097e+01,4.980680880981702696e-01,-9.571643546451616413e-02,-2.746252590150988215e-01,5.162408369760246307e-01
2.060000000000000142e+01,4.979073767216748436e-01,-1.101468152116863303e-01,-2.669377952566777124e-01,5.155261495032844588e-01
2.061199999999999832e+01,4.972997885645938920e-01,-1.247006368004952015e-01,-2.592385151359217210e-01,5.146004236535876020e-01
2.062399999999999878e+01,4.962333520489708993e-01,-1.393682790568780971e-01,-2.515322796450236154e-01,5.134588689067619560e-01
2.063599999999999923e+01,4.946958422167827552e-01,-1.541393157760496402e-01,-2.438243717702794355e-01,5.120966158606128360e-01
2.064799999999999969e+01,4.926748100037108835e-01,-1.690024565314678651e-01,-2.361205223713285506e-01,5.105087371905003835e-01
2.066000000000000014e+01,4.901576165160657639e-01,-1.839454855888914830e-01,-2.284269364169203009e-01,5.086902710651414194e-01
2.067200000000000060e+01,4.871314728081994616e-01,-1.989551990703480877e-01,-2.207503194729300844e-01,5.066362472430731012e-01
2.068400000000000105e+01,4.835834856917280433e-01,-2.140173405614312074e-01,-2.130979043109823279e-01,5.043417160860534931e-01
2.069600000000000151e+01,4.795007101413583106e-01,-2.291165354116799224e-01,-2.054774774756477351e-01,5.018017807360807270e-01
2.070799999999999841e+01,4.748702088943194677e-01,-2.442362240419817254e-01,-1.978974056138566029e-01,4.990116327120636686e-01
2.071999999999999886e+01,4.696791198703390013e-01,-2.593585946462657055e-01,-1.903666613322486101e-01,4.959665911891077972e-01
2.073199999999999932e+01,4.639147320661435869e-01,-2.744645157573878391e-01,-1.828948483058989161e-01,4.926621462283984343e-01
2.074399999999999977e+01,4.575645706008160118e-01,-2.895334692407260380e-01,-1.754922253153200773e-01,4.890940062270196509e-01
2.075600000000000023e+01,4.506164916051286218e-01,-3.045434843831654192e-01,-1.681697288374991994e-01,4.852581498548578787e-01
2.076800000000000068e+01,4.430587876570604711e-01,-3.194710738617065893e-01,-1.609389937608935173e-01,4.811508827388655263e-01
2.078000000000000114e+01,4.348803044654637739e-01,-3.342911725044732107e-01,-1.538123717336622454e-01,4.767688991421719646e-01
2.079200000000000159e+01,4.260705694915974395e-01,-3.489770798987440470e-01,-1.468029465890624552e-01,4.721093488662371773e-01
2.080399999999999849e+01,4.166199331719612764e-01,-3.635004080550455208e-01,-1.399245462220318204e-01,4.671699095768652721e-01
2.081599999999999895e+01,4.065197233619661787e-01,-3.778310355043758006e-01,-1.331917502166585776e-01,4.619488647182783958e-01
2.082799999999999940e+01,3.957624135558437950e-01,-3.919370693859591248e-01,-1.266198924463859676e-01,4.564451871320113208e-01
2.083999999999999986e+01,3.843418053495971654e-01,-4.057848172755244009e-01,-1.202250577875569049e-01,4.506586284377414042e-01
2.085200000000000031e+01,3.722532254972604204e-01,-4.193387707071309922e-01,-1.140240720039580602e-01,4.445898141594537556e-01
2.086400000000000077e+01,3.594937377616475027e-01,-4.325616025535631848e-01,-1.080344837759675547e-01,4.382403444909280243e-01
2.087600000000000122e+01,3.460623695746040118e-01,-4.454141806482055377e-01,-1.022745377650258886e-01,4.316129004875488562e-01
2.088800000000000168e+01,3.319603532939341961e-01,-4.578556002519748591e-01,-9.676313752410871383e-02,4.247113553452726009e-01
2.089999999999999858e+01,3.171913815693949146e-01,-4.698432381872596486e-01,-9.151979699045643957e-02,4.175408902800796795e-01
2.091199999999999903e+01,3.017618760037721337e-01,-4.813328316717349065e-01,-8.656457923093748008e-02,4.101081143513614635e-01
2.092399999999999949e+01,2.856812679122264220e-01,-4.922785850806785102e-01,-8.191802105688585078e-02,4.024211873784191429e-01
2.093599999999999994e+01,2.689622895392101420e-01,-5.026333080390946728e-01,-7.760104208812844406e-02,3.944899448799110697e-01
2.094800000000000040e+01,2.516212735839478132e-01,-5.123485883839373756e-01,-7.363483683018084980e-02,3.863260237208036019e-01
2.096000000000000085e+01,2.336784583093362566e-01,-5.213750036304432012e-01,-7.004074833974349712e-02,3.779429868800536774e-01
2.097200000000000131e+01,2.151582948640960169e-01,-5.296623746112613107e-01,-6.684012209782673464e-02,3.693564454557062282e-01
2.098400000000000176e+01,1.960897527338338331e-01,-5.371600649175266584e-01,-6.405413879377291897e-02,3.605841757036036821e-01
2.099599999999999866e+01,1.765066184560546980e-01,-5.438173296395651946e-01,-6.170362485456087898e-02,3.516462285644136321e-01
2.100799999999999912e+01,1.564477818919626506e-01,-5.495837166632766557e-01,-5.980883973968154771e-02,3.425650287751729195e-01
2.101999999999999957e+01,1.359575034528363591e-01,-5.544095234056861665e-01,-5.838923927066219655e-02,3.333654602914588039e-01
2.103200000000000003e+01,1.150856547428100868e-01,-5.582463113486610951e-01,-5.746321458400185933e-02,3.240749343720619180e-01
2.104400000000000048e+01,9.388792412081169159e-02,-5.610474800311807675e-01,-5.704780669490139289e-02,3.147234363091258591e-01
2.105600000000000094e+01,7.242597772367197206e-02,-5.627689012664199852e-01,-5.715839714392625254e-02,3.053435464343615124e-01
2.106800000000000139e+01,5.076756555871837773e-02,-5.633696132390038080e-01,-5.780837577626189022e-02,2.959704307102987708e-01
2.107999999999999829e+01,2.898656140156516750e-02,-5.628125727918092958e-01,-5.900878737852261607e-02,2.866417959406954430e-01
2.109199999999999875e+01,7.162924464891472741e-03,-5.610654626147721924e-01,-6.076795967429376999e-02,2.773978044251356745e-01
2.110399999999999920e+01,-1.461742981537298564e-02,-5.581015481900029052e-01,-6.309111605739746442e-02,2.682809427609507691e-01
2.111599999999999966e+01,-3.626286294363281065e-02,-5.539005772236970104e-01,-6.597997741873812272e-02,2.593358394841826509e-01
2.112800000000000011e+01,-5.767636369068043084e-02,-5.484497119105291585e-01,-6.943235849191557729e-02,2.506090263668575568e-01
2.114000000000000057e+01,-7.875602860507811831e-02,-5.417444817449308392e-01,-7.344176529352121341e-02,2.421486384772635336e-01
2.115200000000000102e+01,-9.939568513405556971e-02,-5.337897417437420522e-01,-7.799700144941851265e-02,2.340040485925558578e-01
2.116400000000000148e+01,-1.194856686945335311e-01,-5.246006179188203999e-01,-8.308179245534438873e-02,2.262254322578868826e-01
2.117599999999999838e+01,-1.389137633887236045e-01,-5.142034186962946007e-01,-8.867443818875611616e-02,2.188632607424168264e-01
2.118799999999999883e+01,-1.575663137740907771e-01,-5.026364878011292392e-01,-9.474750523084168874e-02,2.119677203772356855e-01
2.119999999999999929e+01,-1.753295121031100412e-01,-4.899509710132359808e-01,-1.012675717261852931e-01,2.055880582978530935e-01
2.121199999999999974e+01,-1.920908616834446081e-01,-4.762114662793492381e-01,-1.081950385467814746e-01,1.997718564736996882e-01
2.122400000000000020e+01,-2.077408124266263700e-01,-4.614965240839697946e-01,-1.154840213706603558e-01,1.945642381018442002e-01
2.123600000000000065e+01,-2.221745592286769044e-01,-4.458989629179296865e-01,-1.230823388576405136e-01,1.900070129744123593e-01
2.124800000000000111e+01,-2.352939875624164290e-01,-4.295259633355590911e-01,-1.309316123196583304e-01,1.861377712893105829e-01
2.126000000000000156e+01,-2.470097435996580493e-01,-4.124989036845398971e-01,-1.389674920459612051e-01,1.829889385354514508e-01
2.127199999999999847e+01,-2.572433984101141213e-01,-3.949529013691127632e-01,-1.471200246520116273e-01,1.805868074997971084e-01
2.128399999999999892e+01,-2.659296674482920508e-01,-3.770360257224302791e-01,-1.553141743686145548e-01,1.789505670419469507e-01
2.129599999999999937e+01,-2.730186378540990222e-01,-3.589081524750916685e-01,-1.634705089679270862e-01,1.780913509601615152e-01
2.130799999999999983e+01,-2.784779473508269265e-01,-3.407394356589340534e-01,-1.715060579358684556e-01,1.780113338929585620e-01
2.132000000000000028e+01,-2.822948501065670746e-01,-3.227083807920682057e-01,-1.793353464614168002e-01,1.787029045859849785e-01
2.133200000000000074e+01,-2.844780973070863972e-01,-3.049995135086331355e-01,-1.868716037657048856e-01,1.801479497861310231e-01
2.134400000000000119e+01,-2.850595539373919074e-01,-2.878006504936573284e-01,-1.940281382225212403e-01,1.823172842439453878e-01
2.135600000000000165e+01,-2.840954690379837166e-01,-2.712997946038006036e-01,-2.007198646708645007e-01,1.851702635145090758e-01
2.136799999999999855e+01,-2.816673152056634044e-01,-2.556816931794794745e-01,-2.068649614110504020e-01,1.886546161227003193e-01
2.137999999999999901e+01,-2.778821150910379401e-01,-2.411241173609091903e-01,-2.123866258258947648e-01,1.927065298691176543e-01
2.139199999999999946e+01,-2.728721788231728285e-01,-2.277939400512715706e-01,-2.172148887062933242e-01,1.972510232829840227e-01
2.140399999999999991e+01,-2.667941872867360398e-01,-2.158431101066041469e-01,-2.212884386355328248e-01,2.022026272158057025e-01
2.141600000000000037e+01,-2.598275724236556727e-01,-2.054046391967695173e-01,-2.245563997673634404e-01,2.074663931470382416e-01
2.142800000000000082e+01,-2.521721673799527386e-01,-1.965887341640570329e-01,-2.269799996917248597e-01,2.129392339163977688e-01
2.144000000000000128e+01,-2.440451261326927190e-01,-1.894792200280784322e-01,-2.285340595602989300e-01,2.185115894732729547e-01
2.145199999999999818e+01,-2.356771434993861492e-01,-1.841304054093500231e-01,-2.292082369974415279e-01,2.240693952402629530e-01
2.146399999999999864e+01,-2.273080409038716887e-01,-1.805645415201247439e-01,-2.290079542453469230e-01,2.294963144800643562e-01
2.147599999999999909e+01,-2.191818191523064452e-01,-1.787700167230166504e-01,-2.279549500290591890e-01,2.346761795439359088e-01
2.148799999999999955e+01,-2.115413144706135007e-01,-1.787004101826892288e-01,-2.260874040722343492e-01,2.394955711996435421e-01
2.150000000000000000e+01,-2.046226255208653255e-01,-1.802745001982966333e-01,-2.234595980041041985e-01,2.438464516709041852e-01
2.151200000000000045e+01,-1.986495042494458296e-01,-1.833772860911875857e-01,-2.201410951201439037e-01,2.476287568928389748e-01
2.152400000000000091e+01,-1.938279195554550305e-01,-1.878620386240418272e-01,-2.162154432050521768e-01,2.507528480213357391e-01
2.153600000000000136e+01,-1.903410076814756602e-01,-1.935533453160868389e-01,-2.117784280957701049e-01,2.531417223938566829e-01
2.154800000000000182e+01,-1.883446154601115807e-01,-2.002510669054274606e-01,-2.069359292250184390e-01,2.547328904833183194e-01
2.155999999999999872e+01,-1.879636216624149814e-01,-2.077350732806880484e-01,-2.018014502271098243e-01,2.554798379481094117e-01
2.157199999999999918e+01,-1.892891884370382638e-01,-2.157705852609222430e-01,-1.964934159938548364e-01,2.553530101049938383e-01
2.158399999999999963e+01,-1.923770511554470652e-01,-2.241139161429252791e-01,-1.911323407349668768e-01,2.543402789047498058e-01
2.159600000000000009e+01,-1.972469039094738030e-01,-2.325183867411773908e-01,-1.858379784274513946e-01,2.524468781521020389e-01
2.160800000000000054e+01,-2.038828832418300152e-01,-2.407401814398672790e-01,-1.807265668986660079e-01,2.496948193343331013e-01
2.162000000000000099e+01,-2.122350986021742936e-01,-2.485439210030744861e-01,-1.759082696942753377e-01,2.461218259450455303e-01
2.163200000000000145e+01,-2.222221086008851210e-01,-2.557077496581991460e-01,-1.714849065036840869e-01,2.417798466658518386e-01
2.164399999999999835e+01,-2.337342009382751828e-01,-2.620277671731938707e-01,-1.675480444874951902e-01,2.367332255864454671e-01
2.165599999999999881e+01,-2.466373035780095313e-01,-2.673216782387854429e-01,-1.641775010214591712e-01,2.310566196881406742e-01
2.166799999999999926e+01,-2.607773368331831043e-01,-2.714315778242936128e-01,-1.614402849960243636e-01,2.248327595661344103e-01
2.167999999999999972e+01,-2.759848108504535658e-01,-2.742258385385576425e-01,-1.593899807411603975e-01,2.181501489054400444e-01
2.169200000000000017e+01,-2.920794796819071726e-01,-2.756001108964855617e-01,-1.580665575330067185e-01,2.111007921804047283e-01
