Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-4.703412083918280806e-01,-1.092394151605212693e-01,-4.576486860635243237e-01,-2.140067688054713216e-02
2.001200000000000045e+01,-4.680837481764359431e-01,-9.271692893114756584e-02,-4.640551997660343764e-01,-1.627725374264891306e-02
2.002400000000000091e+01,-4.652828201005406172e-01,-7.630229913878876224e-02,-4.703216968782640839e-01,-1.093579120631992148e-02
2.003600000000000136e+01,-4.619422309235693413e-01,-6.001569154927480221e-02,-4.764403753622872828e-01,-5.381066186339563025e-03
2.004799999999999827e+01,-4.580666215673384611e-01,-4.387704824523857433e-02,-4.824036514875792991e-01,3.818491846190350892e-04
2.005999999999999872e+01,-4.536614462971724215e-01,-2.790604757976208189e-02,-4.882041716895105243e-01,6.347601676616044034e-03
2.007199999999999918e+01,-4.487329495581801608e-01,-1.212206625314672312e-02,-4.938348233000787735e-01,1.251057160112045014e-02
2.008399999999999963e+01,-4.432881406813131142e-01,3.455856322048722531e-03,-4.992887441275259963e-01,1.886488787023155381e-02
2.009600000000000009e+01,-4.373347666862539840e-01,1.880905122252647665e-02,-5.045593308697566837e-01,2.540444337805696645e-02
2.010800000000000054e+01,-4.308812834197267572e-01,3.391925066151212781e-02,-5.096402463557264673e-01,3.212291060605225457e-02
2.012000000000000099e+01,-4.239368252758526912e-01,4.876861598308316476e-02,-5.145254256167783868e-01,3.901375735511045106e-02
2.013200000000000145e+01,-4.165111737521217106e-01,6.333976292954801579e-02,-5.192090807989430123e-01,4.607026250877716694e-02
2.014399999999999835e+01,-4.086147250984329959e-01,7.761578413222255945e-02,-5.236857049340608583e-01,5.328553173409114607e-02
2.015599999999999881e+01,-4.002584573177832561e-01,9.158026880035920192e-02,-5.279500745964909036e-01,6.065251303008684786e-02
2.016799999999999926e+01,-3.914538967773532607e-01,1.052173196077463152e-01,-5.319972514780643147e-01,6.816401203680666487e-02
2.017999999999999972e+01,-3.822130846851530261e-01,1.185115668005596729e-01,-5.358225829215669256e-01,7.581270702241994786e-02
2.019200000000000017e+01,-3.725485436820535345e-01,1.314481795743101811e-01,-5.394217014586775161e-01,8.359116347019598936e-02
2.020400000000000063e+01,-3.624732447919231659e-01,1.440128747899345474e-01,-5.427905234045408145e-01,9.149184819221063691e-02
2.021600000000000108e+01,-3.520005749623517088e-01,1.561919231224916937e-01,-5.459252465658204212e-01,9.950714290207574031e-02
2.022800000000000153e+01,-3.411443054171751643e-01,1.679721527559323579e-01,-5.488223471242814622e-01,1.076293571844283425e-01
2.023999999999999844e+01,-3.299185610275051639e-01,1.793409507582938156e-01,-5.514785757617896023e-01,1.158507408050614695e-01
2.025199999999999889e+01,-3.183377908932752409e-01,1.902862622889497368e-01,-5.538909530962542460e-01,1.241634953113933265e-01
2.026399999999999935e+01,-3.064167403087942332e-01,2.007965878073980914e-01,-5.560567645014226068e-01,1.325597848795497247e-01
2.027599999999999980e+01,-2.941704242677329884e-01,2.108609784669901455e-01,-5.579735543856251256e-01,1.410317463705523522e-01
2.028800000000000026e+01,-2.816141026418421678e-01,2.204690298902311218e-01,-5.596391200070188754e-01,1.495714985644852335e-01
2.030000000000000071e+01,-2.687632571466482267e-01,2.296108745327716527e-01,-5.610515049041284730e-01,1.581711505483130442e-01
2.031200000000000117e+01,-2.556335701841561669e-01,2.382771728513761178e-01,-5.622089920218598103e-01,1.668228092393418127e-01
2.032400000000000162e+01,-2.422409056299835994e-01,2.464591034968675876e-01,-5.631100966135776931e-01,1.755185860329645520e-01
2.033599999999999852e+01,-2.286012916077907742e-01,2.541483527560455813e-01,-5.637535590000697372e-01,1.842506025699127969e-01
2.034799999999999898e+01,-2.147309052708704369e-01,2.613371034670823323e-01,-5.641383372658971274e-01,1.930109956245927016e-01
2.035999999999999943e+01,-2.006460595863648333e-01,2.680180236302803776e-01,-5.642635999728133900e-01,2.017919211226956167e-01
2.037199999999999989e+01,-1.863631920952410759e-01,2.741842549312505928e-01,-5.641287189686626791e-01,2.105855573024637550e-01
