Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,3.211041885353583258e-01,3.088005296500990760e-01,-5.303500077431647641e-01,4.361708569073627362e-01
2.001200000000000045e+01,3.297878561578086454e-01,3.027596881475976831e-01,-5.253082267007779249e-01,4.403816711051540267e-01
2.002400000000000091e+01,3.383619230996045002e-01,2.964987958580667660e-01,-5.201885810307261826e-01,4.445112063440304628e-01
2.003600000000000136e+01,3.468216007106673660e-01,2.900181778730162030e-01,-5.149916545638765220e-01,4.485577169048639012e-01
2.004799999999999827e+01,3.551620302824120001e-01,2.833182018639362476e-01,-5.097180480914781375e-01,4.525194242210944795e-01
2.005999999999999872e+01,3.633782790712458133e-01,2.763992803379347607e-01,-5.043683809621897218e-01,4.563945151653444054e-01
2.007199999999999918e+01,3.714653362061025588e-01,2.692618731783750774e-01,-4.989432928148816448e-01,4.601811403153179825e-01
2.008399999999999963e+01,3.794181084841211082e-01,2.619064904876080568e-01,-4.934434454544420756e-01,4.638774122019011514e-01
2.009600000000000009e+01,3.872314160592629229e-01,2.543336957497553397e-01,-4.878695248782131677e-01,4.674814035427226622e-01
2.010800000000000054e+01,3.948999880294915554e-01,2.465441093326535826e-01,-4.822222434610985986e-01,4.709911454648939566e-01
2.012000000000000099e+01,4.024184579288362373e-01,2.385384123488570041e-01,-4.765023423077817122e-01,4.744046257211234074e-01
2.013200000000000145e+01,4.097813591319002247e-01,2.303173508968503203e-01,-4.707105937809270557e-01,4.777197869039258027e-01
2.014399999999999835e+01,4.169831201791615594e-01,2.218817407046610179e-01,-4.648478042147077272e-01,4.809345246632342197e-01
2.015599999999999881e+01,4.240180600329416238e-01,2.132324721992523153e-01,-4.589148168234181702e-01,4.840466859333718008e-01
2.016799999999999926e+01,4.308803832748652196e-01,2.043705160262703213e-01,-4.529125148154116154e-01,4.870540671760764107e-01
2.017999999999999972e+01,4.375641752576757693e-01,1.952969290459707907e-01,-4.468418247230930840e-01,4.899544126470399275e-01
2.019200000000000017e+01,4.440633972254433570e-01,1.860128608325947175e-01,-4.407037199601344657e-01,4.927454126943265900e-01
2.020400000000000063e+01,4.503718814183052532e-01,1.765195607053802740e-01,-4.344992246175929385e-01,4.954247020979409277e-01
2.021600000000000108e+01,4.564833261800050335e-01,1.668183853213888179e-01,-4.282294175110196166e-01,4.979898584609745438e-01
2.022800000000000153e+01,4.623912910885907834e-01,1.569108068610789997e-01,-4.218954364912724797e-01,5.004384006637923044e-01
2.023999999999999844e+01,4.680891921332293593e-01,1.467984218393000029e-01,-4.154984830319145561e-01,5.027677873941005515e-01
2.025199999999999889e+01,4.735702969631164772e-01,1.364829605758589026e-01,-4.090398271068362845e-01,5.049754157670679477e-01
2.026399999999999935e+01,4.788277202369199403e-01,1.259662973607569014e-01,-4.025208123719260511e-01,5.070586200512152697e-01
2.027599999999999980e+01,4.838544191054230392e-01,1.152504613511199649e-01,-3.959428616650184085e-01,5.090146705174479758e-01
2.028800000000000026e+01,4.886431888629763076e-01,1.043376482376884157e-01,-3.893074828387646513e-01,5.108407724304244724e-01
2.030000000000000071e+01,4.931866588079613090e-01,9.323023272038641340e-02,-3.826162749411933794e-01,5.125340652034316991e-01
2.031200000000000117e+01,4.974772883566403459e-01,8.193078183316787610e-02,-3.758709347590785677e-01,5.140916217400484101e-01
2.032400000000000162e+01,5.015073634598885555e-01,7.044206915997971996e-02,-3.690732637391756499e-01,5.155104479882901547e-01
2.033599999999999852e+01,5.052689933774997533e-01,5.876708998412014801e-02,-3.622251753025317322e-01,5.167874827353774458e-01
2.034799999999999898e+01,5.087541078706442343e-01,4.690907741411178000e-02,-3.553287025668235843e-01,5.179195976740668117e-01
2.035999999999999943e+01,5.119544548794795480e-01,3.487151952981874109e-02,-3.483860064915368371e-01,5.189035977744077544e-01
2.037199999999999989e+01,5.148615987597348065e-01,2.265817759249947119e-02,-3.413993844602186134e-01,5.197362219980379283e-01
2.038400000000000034e+01,5.174669191597840445e-01,1.027310536258776996e-02,-3.343712793134875350e-01,5.204141443954780621e-01
2.039600000000000080e+01,5.197616106276132797e-01,-2.279330431826147307e-03,-3.273042888455355293e-01,5.209339756307094227e-01
2.040800000000000125e+01,5.217366830460250515e-01,-1.499442843365357027e-02,-3.202011757757727839e-01,5.212922649811854159e-01
2.042000000000000171e+01,5.233829630042633463e-01,-2.786712976216109902e-02,-3.130648782056720258e-01,5.214855028657077174e-01
2.043199999999999861e+01,5.246910962236385201e-01,-4.089199384692653039e-02,-3.058985205691532872e-01,5.215101239571179326e-01
