Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-5.000860646440338231e-01,-3.233624909427111338e-01,-3.580251848073668364e-01,-7.180751270354729376e-02
2.001200000000000045e+01,-5.047023866396248559e-01,-3.082702972995417512e-01,-3.648956716874859341e-01,-7.015579536224368640e-02
2.002400000000000091e+01,-5.088973689831776115e-01,-2.930745326826623698e-01,-3.717363685777304583e-01,-6.830197579372770944e-02
2.003600000000000136e+01,-5.126677640686783111e-01,-2.777885261516737647e-01,-3.785410314398532927e-01,-6.624727686922880776e-02
2.004799999999999827e+01,-5.160108157810160412e-01,-2.624256914584926492e-01,-3.853034977237255743e-01,-6.399313186856660229e-02
2.005999999999999872e+01,-5.189242592587262060e-01,-2.469995047570621438e-01,-3.920176943012796955e-01,-6.154117812881521737e-02
2.007199999999999918e+01,-5.214063194056486328e-01,-2.315234825981509204e-01,-3.986776449089737273e-01,-5.889325035997366314e-02
2.008399999999999963e+01,-5.234557081852198035e-01,-2.160111602901395034e-01,-4.052774770853582176e-01,-5.605137366499206297e-02
2.009600000000000009e+01,-5.250716207366787902e-01,-2.004760707033873823e-01,-4.118114285931348539e-01,-5.301775630174652976e-02
2.010800000000000054e+01,-5.262537303577489167e-01,-1.849317235918007118e-01,-4.182738533179667928e-01,-4.979478222453407460e-02
2.012000000000000099e+01,-5.270021824031285718e-01,-1.693915855010243998e-01,-4.246592266390279424e-01,-4.638500344243436102e-02
2.013200000000000145e+01,-5.273175871525792591e-01,-1.538690603281316072e-01,-4.309621502689436334e-01,-4.279113223145634970e-02
2.014399999999999835e+01,-5.272010117063283818e-01,-1.383774705928874915e-01,-4.371773565633246816e-01,-3.901603323676155338e-02
2.015599999999999881e+01,-5.266539709690080118e-01,-1.229300394755929310e-01,-4.432997123025173014e-01,-3.506271550045055030e-02
2.016799999999999926e+01,-5.256784177864046725e-01,-1.075398736714224535e-01,-4.493242219504871016e-01,-3.093432444946725424e-02
2.017999999999999972e+01,-5.242767323018356906e-01,-9.221994710566816522e-02,-4.552460303979254941e-01,-2.663413387703331137e-02
2.019200000000000017e+01,-5.224517106010838630e-01,-7.698308554905290702e-02,-4.610604251986507029e-01,-2.216553794984610359e-02
2.020400000000000063e+01,-5.202065527164435599e-01,-6.184195216674347878e-02,-4.667628383102271350e-01,-1.753204327191078965e-02
2.021600000000000108e+01,-5.175448500616283143e-01,-4.680903402927364537e-02,-4.723488473514324548e-01,-1.273726103447354527e-02
2.022800000000000153e+01,-5.144705723700090383e-01,-3.189662960818200055e-02,-4.778141763907031714e-01,-7.784899280017602494e-03
2.023999999999999844e+01,-5.109880542089992872e-01,-1.711683727387936990e-02,-4.831546962810855939e-01,-2.678755306744920808e-03
2.025199999999999889e+01,-5.071019811432931901e-01,-2.481544808001728050e-03,-4.883664245583975161e-01,2.577291761639044151e-03
2.026399999999999935e+01,-5.028173756192462207e-01,1.199758006241229309e-02,-4.934455249203588134e-01,7.979288217602142214e-03
2.027599999999999980e+01,-4.981395826418340000e-01,2.630909810664460932e-02,-4.983883063053667350e-01,1.352321280136129997e-02
2.028800000000000026e+01,-4.930742553145339158e-01,4.044180601011275467e-02,-5.031912215902913932e-01,1.920498350235929144e-02
2.030000000000000071e+01,-4.876273403110241156e-01,5.438474277905284288e-02,-5.078508659273063275e-01,2.502046411228373707e-02
2.031200000000000117e+01,-4.818050633459330379e-01,6.812719514096697571e-02,-5.123639747402011224e-01,3.096547051281703725e-02
2.032400000000000162e+01,-4.756139147099317510e-01,8.165870195571764412e-02,-5.167274214009850430e-01,3.703577668284835367e-02
2.033599999999999852e+01,-4.690606349323784285e-01,9.496905765579852221e-02,-5.209382146077861098e-01,4.322712041134500055e-02
2.034799999999999898e+01,-4.621522006324140786e-01,1.080483147377496733e-01,-5.249934954851704916e-01,4.953520870351920541e-02
2.035999999999999943e+01,-4.548958106170408744e-01,1.208867853297326406e-01,-5.288905344279870580e-01,5.595572286922957661e-02
2.037199999999999989e+01,-4.472988722821597540e-01,1.334750418632441038e-01,-5.326267277097976871e-01,6.248432328389846857e-02
2.038400000000000034e+01,-4.393689883699933851e-01,1.458039168793937024e-01,-5.361995938767363246e-01,6.911665381335366232e-02
2.039600000000000080e+01,-4.311139441336906408e-01,1.578645020025470913e-01,-5.396067699474472734e-01,7.584834589514614922e-02
2.040800000000000125e+01,-4.225416949572824432e-01,1.696481461161310489e-01,-5.428460074394245716e-01,8.267502226989911773e-02
2.042000000000000171e+01,-4.136603544765386498e-01,1.811464527771981248e-01,-5.459151682417521245e-01,8.959230035716438112e-02
2.043199999999999861e+01,-4.044781832437100988e-01,1.923512769078770113e-01,-5.488122203538481347e-01,9.659579527108531904e-02
2.044399999999999906e+01,-3.950035779766201127e-01,2.032547208031794395e-01,-5.515352335094212410e-01,1.036811224719059593e-01
2.045599999999999952e+01,-3.852450614302049825e-01,2.138491294956797462e-01,-5.540823747043917002e-01,1.108439000499505112e-01
2.046799999999999997e+01,-3.752112729262130353e-01,2.241270855186217048e-01,-5.564519036471513580e-01,1.180797506392923385e-01
2.048000000000000043e+01,-3.649109595746755086e-01,2.340814031096521419e-01,-5.586421681490499891e-01,1.253843029586928781e-01
2.049200000000000088e+01,-3.543529682186969398e-01,2.437051218980638700e-01,-5.606515994726227747e-01,1.327531929777583941e-01
2.050400000000000134e+01,-3.435462381322426095e-01,2.529915001189036450e-01,-5.624787076546788889e-01,1.401820647064818681e-01
2.051599999999999824e+01,-3.324997944989189214e-01,2.619340073977015071e-01,-5.641220768210137848e-01,1.476665706064734795e-01
2.052799999999999869e+01,-3.212227426982063871e-01,2.705263171499255326e-01,-5.655803605092106778e-01,1.552023716222402649e-01
2.053999999999999915e+01,-3.097242634243587700e-01,2.787622986395034141e-01,-5.668522770157455870e-01,1.627851368307848823e-01
2.055199999999999960e+01,-2.980136086619560309e-01,2.866360087411161661e-01,-5.679366047834334408e-01,1.704105427077312607e-01
2.056400000000000006e+01,-2.861000985413041375e-01,2.941416834511798029e-01,-5.688321778451486121e-01,1.780742720078938024e-01
2.057600000000000051e+01,-2.739931190961167329e-01,3.012737291928140881e-01,-5.695378813397342643e-01,1.857720122579542832e-01
2.058800000000000097e+01,-2.617021209454550856e-01,3.080267139605141202e-01,-5.700526471161103670e-01,1.934994538585169122e-01
2.060000000000000142e+01,-2.492366189216221328e-01,3.143953583507624328e-01,-5.703754494417812015e-01,2.012522877923777764e-01
2.061199999999999832e+01,-2.366061926656708725e-01,3.203745265255125707e-01,-5.705053008322578112e-01,2.090262029353275319e-01
2.062399999999999878e+01,-2.238204882122858674e-01,3.259592171563344687e-01,-5.704412480183850276e-01,2.168168829652566132e-01
2.063599999999999923e+01,-2.108892205862439306e-01,3.311445543980757744e-01,-5.701823680691412433e-01,2.246200028646646862e-01
2.064799999999999969e+01,-1.978221774330616578e-01,3.359257789422848139e-01,-5.697277646882791258e-01,2.324312250110910916e-01
2.066000000000000014e+01,-1.846292237072792719e-01,3.402982392022387281e-01,-5.690765647040928465e-01,2.402461948491982913e-01
2.067200000000000060e+01,-1.713203074426486727e-01,3.442573826834334771e-01,-5.682279147727545832e-01,2.480605361375707585e-01
2.068400000000000105e+01,-1.579054666295494347e-01,3.477987475957804997e-01,-5.671809783170188579e-01,2.558698457625213085e-01
2.069600000000000151e+01,-1.443948372261044111e-01,3.509179547665671195e-01,-5.659349327236582461e-01,2.636696881104617085e-01
2.070799999999999841e+01,-1.307986623307434981e-01,3.536106999165542497e-01,-5.644889668248360692e-01,2.714555889896591023e-01
2.071999999999999886e+01,-1.171273025452566202e-01,3.558727463654648981e-01,-5.628422786907292252e-01,2.792230290915029833e-01
2.073199999999999932e+01,-1.033912475588411733e-01,3.576999182375558695e-01,-5.609940737630917384e-01,2.869674369807108660e-01
2.074399999999999977e+01,-8.960112898486445598e-02,3.590880942431572409e-01,-5.589435633621688826e-01,2.946841816033881067e-01
2.075600000000000023e+01,-7.576773448350918039e-02,3.600332021178727082e-01,-5.566899636024379427e-01,3.023685643012874458e-01
2.076800000000000068e+01,-6.190202320458618179e-02,3.605312138078971551e-01,-5.542324947560504089e-01,3.100158103202902415e-01
2.078000000000000114e+01,-4.801514258583123446e-02,3.605781414974075783e-01,-5.515703811067049767e-01,3.176210598009238106e-01
2.079200000000000159e+01,-3.411844654276034727e-02,3.601700345825666894e-01,-5.487028513409136776e-01,3.251793582387075277e-01
2.080399999999999849e+01,-2.022351508654917501e-02,3.593029777062372032e-01,-5.456291395283577872e-01,3.326856464023789095e-01
2.081599999999999895e+01,-6.342175406317258728e-03,3.579730899782248565e-01,-5.423484867482325500e-01,3.401347496985968610e-01
2.082799999999999940e+01,7.513475548372037377e-03,3.561765255178409029e-01,-5.388601434242520360e-01,3.475213669725957244e-01
2.083999999999999986e+01,2.133104695052340585e-02,3.539094754688196787e-01,-5.351633724372605316e-01,3.548400587356758673e-01
2.085200000000000031e+01,3.509782841210899035e-02,3.511681716513566642e-01,-5.312574530913477533e-01,3.620852348122096109e-01
