Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-4.434145286632538985e-02,-3.972182677085469432e-02,-4.184284705596323928e-01,2.024030747406258268e-01
2.001200000000000045e+01,-6.205019762726737137e-02,-2.684922271687691098e-02,-4.267273269358086152e-01,1.970447021928526943e-01
2.002400000000000091e+01,-7.837647813274169206e-02,-1.253959865245993580e-02,-4.354749071057656962e-01,1.925895414861540644e-01
2.003600000000000136e+01,-9.318875032589658824e-02,3.014740055561318261e-03,-4.445562356904083079e-01,1.890650950739518610e-01
2.004799999999999827e+01,-1.063886619628369168e-01,1.960946359634949815e-02,-4.538570328995500391e-01,1.864809952123109293e-01
2.005999999999999872e+01,-1.179114194805330612e-01,3.703483173419793578e-02,-4.632668582047366757e-01,1.848301544568090871e-01
2.007199999999999918e+01,-1.277247332660199075e-01,5.508191148180945768e-02,-4.726817766092361039e-01,1.840904860534116061e-01
2.008399999999999963e+01,-1.358265656073530114e-01,7.354809318663504958e-02,-4.820064575818698849e-01,1.842270267733456812e-01
2.009600000000000009e+01,-1.422419620937538931e-01,9.224169372135390677e-02,-4.911556713117232742e-01,1.851942904357730124e-01
2.010800000000000054e+01,-1.470192687707488899e-01,1.109855333621791312e-01,-5.000551952416697477e-01,1.869386923718626137e-01
2.012000000000000099e+01,-1.502260281511550444e-01,1.296194631753435633e-01,-5.086421818010167240e-01,1.894009088369952298e-01
2.013200000000000145e+01,-1.519448145852483611e-01,1.480018941987349124e-01,-5.168650640872705093e-01,1.925180658067841277e-01
2.014399999999999835e+01,-1.522692221101700494e-01,1.660104341744941259e-01,-5.246830901083570087e-01,1.962256840224255727e-01
2.015599999999999881e+01,-1.513001640092985212e-01,1.835417713464046197e-01,-5.320655796617390632e-01,2.004593378736314879e-01
2.016799999999999926e+01,-1.491425897772903353e-01,2.005109598095841938e-01,-5.389909933539339670e-01,2.051560122263812458e-01
2.017999999999999972e+01,-1.459026769180243599e-01,2.168502606318530868e-01,-5.454458932434578244e-01,2.102551623079348397e-01
2.019200000000000017e+01,-1.416855149122254742e-01,2.325076816443048533e-01,-5.514238615347866190e-01,2.156994969296467946e-01
2.020400000000000063e+01,-1.365932679449770870e-01,2.474453405354646307e-01,-5.569244296509026082e-01,2.214355150448633902e-01
2.021600000000000108e+01,-1.307237814369137108e-01,2.616377542144470159e-01,-5.619520563354815090e-01,2.274138307163827422e-01
2.022800000000000153e+01,-1.241695840683597896e-01,2.750701350962111436e-01,-5.665151811365822798e-01,2.335893230042808688e-01
2.023999999999999844e+01,-1.170172303747470666e-01,2.877367539211480585e-01,-5.706253692143460343e-01,2.399211460893973524e-01
2.025199999999999889e+01,-1.093469275338267710e-01,2.996394101254754028e-01,-5.742965550679840492e-01,2.463726320275649306e-01
2.026399999999999935e+01,-1.012323921587993669e-01,3.107860351968034229e-01,-5.775443864290722429e-01,2.529111146334842575e-01
2.027599999999999980e+01,-9.274088745397736366e-02,3.211894419960918401e-01,-5.803856650123159211e-01,2.595076986945619724e-01
2.028800000000000026e+01,-8.393339693072390806e-02,3.308662235351746972e-01,-5.828378777732827754e-01,2.661369944215659089e-01
2.030000000000000071e+01,-7.486489724066529294e-02,3.398357978203859209e-01,-5.849188104982342429e-01,2.727768330211136627e-01
2.031200000000000117e+01,-6.558469900179715595e-02,3.481195906895214742e-01,-5.866462346603907863e-01,2.794079756779112023e-01
2.032400000000000162e+01,-5.613683041666584633e-02,3.557403456484409254e-01,-5.880376582697256493e-01,2.860138251323495751e-01
2.033599999999999852e+01,-4.656044380342241884e-02,3.627215481529695862e-01,-5.891101317099987078e-01,2.925801464431808663e-01
2.034799999999999898e+01,-3.689022978569028721e-02,3.690869512251690465e-01,-5.898801001301078317e-01,2.990948014097852825e-01
2.035999999999999943e+01,-2.715682780268719593e-02,3.748601894494111852e-01,-5.903632947086476790e-01,3.055474994469270511e-01
2.037199999999999989e+01,-1.738722483668643515e-02,3.800644690235401857e-01,-5.905746559466642509e-01,3.119295663996728418e-01
2.038400000000000034e+01,-7.605136876626740136e-03,3.847223224636222572e-01,-5.905282829974261016e-01,3.182337317975273971e-01
2.039600000000000080e+01,2.168630279966080650e-03,3.888554176401722295e-01,-5.902374038694018221e-01,3.244539343179644875e-01
2.040800000000000125e+01,1.191584265818075236e-02,3.924844119626973438e-01,-5.897143621121766488e-01,3.305851447083740235e-01
2.042000000000000171e+01,2.162052269412472610e-02,3.956288436604040171e-01,-5.889706162997505601e-01,3.366232050568012668e-01
2.043199999999999861e+01,3.126865636394254855e-02,3.983070531873971754e-01,-5.880167492556970243e-01,3.425646830671874588e-01
2.044399999999999906e+01,4.084792173958275152e-02,4.005361287848632212e-01,-5.868624845200657303e-01,3.484067398522446846e-01
2.045599999999999952e+01,5.034743734577310642e-02,4.023318711496519651e-01,-5.855167080430780935e-01,3.541470096805774959e-01
2.046799999999999997e+01,5.975752832581587154e-02,4.037087729831086991e-01,-5.839874935122856270e-01,3.597834900834260274e-01
2.048000000000000043e+01,6.906950815190401882e-02,4.046800099355180036e-01,-5.822821300864853278e-01,3.653144407238662628e-01
2.049200000000000088e+01,7.827547342154482501e-02,4.052574401192101106e-01,-5.804071516303961342e-01,3.707382894447763810e-01
2.050400000000000134e+01,8.736810911737602492e-02,4.054516099638721949e-01,-5.783683668289311131e-01,3.760535439313422712e-01
2.051599999999999824e+01,9.634050157967638528e-02,4.052717647281298685e-01,-5.761708898186601591e-01,3.812587074419144795e-01
2.052799999999999869e+01,1.051859562973819634e-01,4.047258624968821938e-01,-5.738191712177208581e-01,3.863521970722323950e-01
2.053999999999999915e+01,1.138978174812373262e-01,4.038205909895616896e-01,-5.713170296746523658e-01,3.913322630185525619e-01
2.055199999999999960e+01,1.224692862095649315e-01,4.025613870125113736e-01,-5.686676843038952489e-01,3.961969072928706592e-01
2.056400000000000006e+01,1.308932337312524730e-01,4.009524589305077380e-01,-5.658737886438454101e-01,4.009438003181153842e-01
2.057600000000000051e+01,1.391620062658159296e-01,3.989968131405360885e-01,-5.629374670779609957e-01,4.055701937936898038e-01
2.058800000000000097e+01,1.472672173588699396e-01,3.966962862441502091e-01,-5.598603550178158361e-01,4.100728281768460937e-01
2.060000000000000142e+01,1.551995235227841829e-01,3.940515854801596163e-01,-5.566436445801529187e-01,4.144478330802072730e-01
2.061199999999999832e+01,1.629483785496730064e-01,3.910623410489089125e-01,-5.532881380227117063e-01,4.186906188529195827e-01
2.062399999999999878e+01,1.705017615310046586e-01,3.877271753157654488e-01,-5.497943118654010641e-01,4.227957576124972694e-01
2.063599999999999923e+01,1.778458733122224578e-01,3.840437955974133621e-01,-5.461623954492492716e-01,4.267568520564630763e-01
2.064799999999999969e+01,1.849647959130086006e-01,3.800091194388443006e-01,-5.423924687156986835e-01,4.305663905531869617e-01
2.066000000000000014e+01,1.918401094766068737e-01,3.756194440860804451e-01,-5.384845852687311085e-01,4.342155873563241508e-01
2.067200000000000060e+01,1.984504617383686664e-01,3.708706754296535735e-01,-5.344389283590089690e-01,4.376942074047691089e-01
2.068400000000000105e+01,2.047710861000246463e-01,3.657586361918674922e-01,-5.302560093472566960e-01,4.409903761987610804e-01
2.069600000000000151e+01,2.107732665456633625e-01,3.602794787249997133e-01,-5.259369204936180653e-01,4.440903768797299089e-01
2.070799999999999841e+01,2.164237514163797615e-01,3.544302346529696335e-01,-5.214836565778736555e-01,4.469784391588916272e-01
2.071999999999999886e+01,2.216841242863165362e-01,3.482095417677824045e-01,-5.168995228135928599e-01,4.496365285078898211e-01
2.073199999999999932e+01,2.265101499962684506e-01,3.416185979874634127e-01,-5.121896495902064084e-01,4.520441495324156178e-01
2.074399999999999977e+01,2.308511288421264129e-01,3.346624023205563292e-01,-5.073616373698595083e-01,4.541781853173996741e-01
2.075600000000000023e+01,2.346493139936411676e-01,3.273513525810428648e-01,-5.024263568633825505e-01,4.560128055025237659e-01
2.076800000000000068e+01,2.378394788729255860e-01,3.197032768799011881e-01,-4.973989291852797257e-01,4.575194907253931076e-01
2.078000000000000114e+01,2.403487651609697295e-01,3.117459768902949291e-01,-4.922999060707728969e-01,4.586672405663573260e-01
2.079200000000000159e+01,2.420970007059595475e-01,3.035203491772068829e-01,-4.871566584297971625e-01,4.594230565267531374e-01
2.080399999999999849e+01,2.429977507873786746e-01,2.950841167084626293e-01,-4.820049582260781396e-01,4.597528201125239411e-01
2.081599999999999895e+01,2.429604530979715127e-01,2.865161318701167636e-01,-4.768906982428106622e-01,4.596227159497920933e-01
2.082799999999999940e+01,2.418940761107047643e-01,2.779210863907875528e-01,-4.718716301118723866e-01,4.590013745846729942e-01
2.083999999999999986e+01,2.397128088498810261e-01,2.694342617065604850e-01,-4.670189069397676085e-01,4.578629171415471988e-01
2.085200000000000031e+01,2.363442943280287256e-01,2.612256587283518505e-01,-4.624180907227936621e-01,4.561910546020339075e-01
2.086400000000000077e+01,2.317407905139235724e-01,2.535024597076387387e-01,-4.581691342185333915e-01,4.539843000005777118e-01
2.087600000000000122e+01,2.258932894420492277e-01,2.465083389717864226e-01,-4.543846987748724198e-01,4.512621589505240727e-01
2.088800000000000168e+01,2.188479507849283578e-01,2.405177679339443597e-01,-4.511860798375151305e-01,4.480718450079574366e-01
2.089999999999999858e+01,2.107231621511905795e-01,2.358233660148187083e-01,-4.486960710962626941e-01,4.444946223457234002e-01
2.091199999999999903e+01,2.017242130070519002e-01,2.327148369688973872e-01,-4.470284201925771583e-01,4.406503725646246372e-01
2.092399999999999949e+01,1.921512948128189791e-01,2.314494065942195589e-01,-4.462742068063841328e-01,4.366985745905013760e-01
2.093599999999999994e+01,1.823959424027355725e-01,2.322160500073859046e-01,-4.464864985460735292e-01,4.328338335026174488e-01
2.094800000000000040e+01,1.729218981952725942e-01,2.350987934360880272e-01,-4.476658039383105137e-01,4.292746782313139331e-01
2.096000000000000085e+01,1.642292553238652586e-01,2.400469710470333196e-01,-4.497497018979677574e-01,4.262457103702494976e-01
2.097200000000000131e+01,1.568053411766878458e-01,2.468610388316052617e-01,-4.526100217306028850e-01,4.239551215146057372e-01
2.098400000000000176e+01,1.510706944367087301e-01,2.552002173782092487e-01,-4.560596987210912556e-01,4.225714660406076351e-01
2.099599999999999866e+01,1.473314449030543039e-01,2.646129441500837398e-01,-4.598690906784211885e-01,4.222045082034369679e-01
2.100799999999999912e+01,1.457486315280451805e-01,2.745846541109582817e-01,-4.637889029845541633e-01,4.228943289663673055e-01
2.101999999999999957e+01,1.463304083229116093e-01,2.845925287066184417e-01,-4.675750340065211730e-01,4.246107568347175509e-01
2.103200000000000003e+01,1.489465982378602171e-01,2.941556709432526229e-01,-4.710104026421806922e-01,4.272624159017265333e-01
2.104400000000000048e+01,1.533594528732458162e-01,3.028718781055865228e-01,-4.739201573181666682e-01,4.307123993445965415e-01
2.105600000000000094e+01,1.592617803299073986e-01,3.104371325117939451e-01,-4.761788649476481061e-01,4.347965662752247828e-01
2.106800000000000139e+01,1.663141262032349910e-01,3.166488083944655196e-01,-4.777103785675543834e-01,4.393408116251163453e-01
2.107999999999999829e+01,1.741753224387324883e-01,3.213967638927942017e-01,-4.784824128647663932e-01,4.441748840765474271e-01
2.109199999999999875e+01,1.825239019330763823e-01,3.246475291654663531e-01,-4.784982539494189169e-01,4.491417612806630211e-01
2.110399999999999920e+01,1.910704608507122759e-01,3.264262257231787534e-01,-4.777877220821596382e-01,4.541027416481487333e-01
2.111599999999999966e+01,1.995625773625573918e-01,3.267994952229226757e-01,-4.763988617959042382e-01,4.589390818724243815e-01
