Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-5.184751647445190459e-01,-1.408805069647559305e-01,-4.505878658606795595e-01,-5.025046426036940128e-02
2.001200000000000045e+01,-5.180733875368929153e-01,-1.254844205988431272e-01,-4.567340245120983244e-01,-4.619795407066699250e-02
2.002400000000000091e+01,-5.172479974685975090e-01,-1.101400135511097500e-01,-4.627826462764179638e-01,-4.197365922851981068e-02
2.003600000000000136e+01,-5.160012580338130261e-01,-9.486035561823623341e-02,-4.687288374011849279e-01,-3.758078061103529988e-02
2.004799999999999827e+01,-5.143358818762606699e-01,-7.965836920014174316e-02,-4.745678443978501027e-01,-3.302265996626302380e-02
2.005999999999999872e+01,-5.122550188022420015e-01,-6.454681147013582865e-02,-4.802950579499823958e-01,-2.830277190376454324e-02
2.007199999999999918e+01,-5.097622429565444868e-01,-4.953825752184903841e-02,-4.859060163027514312e-01,-2.342471579836632317e-02
2.008399999999999963e+01,-5.068615392391199181e-01,-3.464508453565630364e-02,-4.913964081355805535e-01,-1.839220764167959904e-02
2.009600000000000009e+01,-5.035572890423278825e-01,-1.987945700111524300e-02,-4.967620749221345888e-01,-1.320907187525872592e-02
2.010800000000000054e+01,-4.998542553898583929e-01,-5.253313025476438573e-03,-5.019990127840484595e-01,-7.879233238366888104e-03
2.012000000000000099e+01,-4.957575675592012510e-01,9.221648247942752091e-03,-5.071033738468816443e-01,-2.406708662249069843e-03
2.013200000000000145e+01,-4.912727052698276919e-01,2.353397809395857757e-02,-5.120714671087019942e-01,3.204400758317085818e-03
2.014399999999999835e+01,-4.864054825189813025e-01,3.767248852082737132e-02,-5.168997588335463300e-01,8.949917686743460651e-03
2.015599999999999881e+01,-4.811620311463140620e-01,5.162626144109985077e-02,-5.215848724836085193e-01,1.482559633153865061e-02
2.016799999999999926e+01,-4.755487842074470617e-01,6.538465669809816194e-02,-5.261235882055377289e-01,2.082713007174505013e-02
2.017999999999999972e+01,-4.695724592349891369e-01,7.893731895365646567e-02,-5.305128418875746377e-01,2.695015889584092064e-02
2.019200000000000017e+01,-4.632400414636848041e-01,9.227418344779687864e-02,-5.347497238054104152e-01,3.319027663051842686e-02
2.020400000000000063e+01,-4.565587670940876586e-01,1.053854806459611909e-01,-5.388314768757360707e-01,3.954303793742241363e-02
2.021600000000000108e+01,-4.495361066666739291e-01,1.182617397939406817e-01,-5.427554945372887740e-01,4.600396505749984599e-02
2.022800000000000153e+01,-4.421797486155042978e-01,1.308937914048442230e-01,-5.465193182799600313e-01,5.256855428425018933e-02
2.023999999999999844e+01,-4.344975830676049977e-01,1.432727687063208299e-01,-5.501206348431219029e-01,5.923228214875841946e-02
2.025199999999999889e+01,-4.264976859510463125e-01,1.553901080797631395e-01,-5.535572731047789796e-01,6.599061130098481109e-02
2.026399999999999935e+01,-4.181883034714861114e-01,1.672375485263086214e-01,-5.568272006834596999e-01,7.283899607328214731e-02
2.027599999999999980e+01,-4.095778370134907087e-01,1.788071301973709615e-01,-5.599285202750116097e-01,7.977288771367221920e-02
2.028800000000000026e+01,-4.006748285196126691e-01,1.900911920297491953e-01,-5.628594657464945916e-01,8.678773927778317410e-02
2.030000000000000071e+01,-3.914879463967153583e-01,2.010823685275469619e-01,-5.656183980094033892e-01,9.387901016973723700e-02
2.031200000000000117e+01,-3.820259719956461408e-01,2.117735857348729267e-01,-5.682038006943075370e-01,1.010421703235769714e-01
2.032400000000000162e+01,-3.722977867069717228e-01,2.221580564447695472e-01,-5.706142756488300494e-01,1.082727040179985445e-01
2.033599999999999852e+01,-3.623123597122360207e-01,2.322292746909524752e-01,-5.728485382806113302e-01,1.155661133182887129e-01
2.034799999999999898e+01,-3.520787364269790665e-01,2.419810095698663732e-01,-5.749054127665871317e-01,1.229179211403893107e-01
2.035999999999999943e+01,-3.416060276688069330e-01,2.514072984411107048e-01,-5.767838271495273617e-01,1.303236739328796356e-01
2.037199999999999989e+01,-3.309033995808111639e-01,2.605024395547881344e-01,-5.784828083423959599e-01,1.377789439735623289e-01
2.038400000000000034e+01,-3.199800643380551479e-01,2.692609841544147953e-01,-5.800014770606274350e-01,1.452793312779609158e-01
2.039600000000000080e+01,-3.088452716623015237e-01,2.776777281040879730e-01,-5.813390427019975437e-01,1.528204651176799378e-01
2.040800000000000125e+01,-2.975083011679059974e-01,2.857477030884544855e-01,-5.824947981932993013e-01,1.603980051470441093e-01
2.042000000000000171e+01,-2.859784555597851829e-01,2.934661674337404880e-01,-5.834681148226105174e-01,1.680076421368046358e-01
2.043199999999999861e+01,-2.742650547025941021e-01,3.008285965977678944e-01,-5.842584370755294909e-01,1.756450983139515587e-01
2.044399999999999906e+01,-2.623774305787195393e-01,3.078306733764626935e-01,-5.848652774933915666e-01,1.833061273068330999e-01
2.045599999999999952e+01,-2.503249231515519702e-01,3.144682778738926987e-01,-5.852882115711521838e-01,1.909865136947580533e-01
2.046799999999999997e+01,-2.381168771494227288e-01,3.207374772825280496e-01,-5.855268727123975614e-01,1.986820721612520269e-01
2.048000000000000043e+01,-2.257626397850859834e-01,3.266345155199639749e-01,-5.855809472587610864e-01,2.063886462498656371e-01
2.049200000000000088e+01,-2.132715594251987368e-01,3.321558027681217884e-01,-5.854501696109812858e-01,2.141021067211714424e-01
2.050400000000000134e+01,-2.006529852242591450e-01,3.372979049607839896e-01,-5.851343174588861107e-01,2.218183495091532453e-01
2.051599999999999824e+01,-1.879162677377374246e-01,3.420575332653515432e-01,-5.846332071377831063e-01,2.295332932746777521e-01
2.052799999999999869e+01,-1.750707605297110725e-01,3.464315336050181049e-01,-5.839466891291102968e-01,2.372428765531267303e-01
2.053999999999999915e+01,-1.621258227913415506e-01,3.504168762680374694e-01,-5.830746437237169788e-01,2.449430544925104147e-01
2.055199999999999960e+01,-1.490908229876171109e-01,3.540106456517665978e-01,-5.820169768669261057e-01,2.526297951776368400e-01
2.056400000000000006e+01,-1.359751435515356155e-01,3.572100301903884945e-01,-5.807736162054976115e-01,2.602990755349582908e-01
2.057600000000000051e+01,-1.227881866466902921e-01,3.600123125171139638e-01,-5.793445073578973314e-01,2.679468768117728716e-01
2.058800000000000097e+01,-1.095393810215067598e-01,3.624148599140015192e-01,-5.777296104308730085e-01,2.755691796224201684e-01
2.060000000000000142e+01,-9.623818998087843579e-02,3.644151151056577720e-01,-5.759288968072526771e-01,2.831619585530336658e-01
