Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-8.758949402041772692e-02,3.951215385750005971e-01,-6.415175349699964169e-01,2.508589798961952111e-01
2.001200000000000045e+01,-7.638890828043572168e-02,3.976056872483281213e-01,-6.399300130809487674e-01,2.576523198267771098e-01
2.002400000000000091e+01,-6.518631486020928789e-02,3.998147195701756695e-01,-6.382211449560238892e-01,2.643958037650036008e-01
2.003600000000000136e+01,-5.398655465414101823e-02,4.017507545873674757e-01,-6.363928671672216542e-01,2.710880157977598737e-01
2.004799999999999827e+01,-4.279432297656025896e-02,4.034158975895527632e-01,-6.344470650206770479e-01,2.777276107368169544e-01
2.005999999999999872e+01,-3.161417665094083673e-02,4.048122337854074271e-01,-6.323855710251137241e-01,2.843133089427947735e-01
2.007199999999999918e+01,-2.045054118666152221e-02,4.059418224040945988e-01,-6.302101635941862456e-01,2.908438912365478024e-01
2.008399999999999963e+01,-9.307718029984488398e-03,4.068066912057357043e-01,-6.279225659676495042e-01,2.973181939000835716e-01
2.009600000000000009e+01,1.810108122042372028e-03,4.074088313849556497e-01,-6.255244453371331392e-01,3.037351037679535404e-01
2.010800000000000054e+01,1.289886195426594856e-02,4.077501928519640106e-01,-6.230174121631169015e-01,3.100935534090841217e-01
2.012000000000000099e+01,2.395457012038688938e-02,4.078326798762264005e-01,-6.204030196705423439e-01,3.163925163981080591e-01
2.013200000000000145e+01,3.497335379026813434e-02,4.076581470783245953e-01,-6.176827635113882886e-01,3.226310026744274029e-01
2.014399999999999835e+01,4.595142116203537741e-02,4.072283957563398449e-01,-6.148580815833675217e-01,3.288080539864760565e-01
2.015599999999999881e+01,5.688505994199528210e-02,4.065451705338265498e-01,-6.119303539948007797e-01,3.349227394180244177e-01
2.016799999999999926e+01,6.777062979383549624e-02,4.056101563173226676e-01,-6.089009031666120508e-01,3.409741509926964564e-01
2.017999999999999972e+01,7.860455475743087506e-02,4.044249755521533984e-01,-6.057709940632132195e-01,3.469613993524093276e-01
2.019200000000000017e+01,8.938331563614018704e-02,4.029911857663520669e-01,-6.025418345449929935e-01,3.528836095049009414e-01
2.020400000000000063e+01,1.001034423503867898e-01,4.013102773934220102e-01,-5.992145758359062047e-01,3.587399166351169510e-01
2.021600000000000108e+01,1.107615062541647821e-01,3.993836718658260176e-01,-5.957903131006733188e-01,3.645294619748327691e-01
2.022800000000000153e+01,1.213541124100389057e-01,3.972127199721344204e-01,-5.922700861267755634e-01,3.702513887245640345e-01
2.023999999999999844e+01,1.318778918172197334e-01,3.947987004720197035e-01,-5.886548801074947823e-01,3.759048380215427865e-01
2.025199999999999889e+01,1.423294935863920196e-01,3.921428189644344808e-01,-5.849456265229896479e-01,3.814889449472508298e-01
2.026399999999999935e+01,1.527055770539663959e-01,3.892462070056924572e-01,-5.811432041173446583e-01,3.870028345677925530e-01
2.027599999999999980e+01,1.630028038277763769e-01,3.861099214754630249e-01,-5.772484399703766700e-01,3.924456180002531824e-01
2.028800000000000026e+01,1.732178297553090551e-01,3.827349441901310989e-01,-5.732621106638804420e-01,3.978163884979683540e-01
2.030000000000000071e+01,1.833472968048966423e-01,3.791221817644681025e-01,-5.691849435429287007e-01,4.031142175475828648e-01
2.031200000000000117e+01,1.933878248496409269e-01,3.752724657241173767e-01,-5.650176180737008780e-01,4.083381509706175971e-01
2.032400000000000162e+01,2.033360033431647340e-01,3.711865528730364794e-01,-5.607607673003202065e-01,4.134872050222642148e-01
2.033599999999999852e+01,2.131883828757775989e-01,3.668651259217706739e-01,-5.564149794040723629e-01,4.185603624800585121e-01
2.034799999999999898e+01,2.229414665990895050e-01,3.623087943842560610e-01,-5.519807993694259007e-01,4.235565687151158221e-01
2.035999999999999943e+01,2.325917015066527316e-01,3.575180957527721581e-01,-5.474587307622463817e-01,4.284747277385981268e-01
2.037199999999999989e+01,2.421354695578747662e-01,3.524934969626982717e-01,-5.428492376266681463e-01,4.333136982162111295e-01
2.038400000000000034e+01,2.515690786320510242e-01,3.472353961608972139e-01,-5.381527465081954453e-01,4.380722894435920001e-01
2.039600000000000080e+01,2.608887532991966407e-01,3.417441247938217685e-01,-5.333696486117259772e-01,4.427492572755956646e-01
2.040800000000000125e+01,2.700906253941347535e-01,3.360199500338786338e-01,-5.285003021043994664e-01,4.473433000027010609e-01
2.042000000000000171e+01,2.791707243803032701e-01,3.300630775651844373e-01,-5.235450345744152578e-01,4.518530541679899870e-01
2.043199999999999861e+01,2.881249674897250479e-01,3.238736547525816190e-01,-5.185041456583010522e-01,4.562770903184413807e-01
2.044399999999999906e+01,2.969491496258344632e-01,3.174517742207268456e-01,-5.133779098504580585e-01,4.606139086846685604e-01
2.045599999999999952e+01,3.056389330160672047e-01,3.107974778732261467e-01,-5.081665795103423866e-01,4.648619347836372984e-01
