id,project_name,ls,hs,t,gc,l1,ed1,id1,l2,ed2,id2,s11_freq,s11_db,s21_freq,s21_db
936690bd-9e7f-46a1-89a1-d9cac94c9e66,1,8.0,1.6,0.035,0.3,7.0,6.0,5.0,3.0,2.5,2.0,20.864,-15.116605053911298,28.424,-18.12643486704385
4116e20b-d413-419a-bb8f-34accea8cc68,2,8.0,1.6,0.035,0.3,7.02,6.0,5.0,3.0,2.5,2.0,20.912,-14.574393622330158,28.448,-18.23681942361404
b0a84941-8068-41fd-b89a-04c00a313429,3,8.0,1.6,0.035,0.3,7.04,6.0,5.0,3.0,2.5,2.0,20.948,-14.162572315865356,28.46,-18.3007955543499
b7eb1942-ed8e-4973-a665-cb87a390bbde,4,8.0,1.6,0.035,0.3,7.06,6.0,5.0,3.0,2.5,2.0,20.948,-13.68010963475239,28.472,-18.301533890890347
2ad19d05-e291-40ee-86a1-82efd3b9e3a5,5,8.0,1.6,0.035,0.3,7.08,6.0,5.0,3.0,2.5,2.0,20.924,-12.931381746181573,28.484,-18.369755054234712
c1f627d4-8d25-49ef-953a-64fa08313bba,6,8.0,1.6,0.035,0.3,7.1,6.0,5.0,3.0,2.5,2.0,20.888,-12.99155375191313,28.496000000000002,-18.293151511309198
a767defa-0f58-487b-bde8-3610e2c094e1,7,8.0,1.6,0.035,0.3,7.12,6.0,5.0,3.0,2.5,2.0,30.152,-13.125675292335758,28.508000000000003,-18.253411398698557
30d1e51f-d950-4860-bb60-21197b3cb0b1,8,8.0,1.6,0.035,0.3,7.14,6.0,5.0,3.0,2.5,2.0,30.14,-13.372344470284963,28.508000000000003,-18.201480567096283
751000be-72a0-4410-9e96-789c3fd37e6d,9,8.0,1.6,0.035,0.3,7.16,6.0,5.0,3.0,2.5,2.0,30.152,-13.633790524439501,28.508000000000003,-18.114421641153335
05aa2aa2-a55a-4d15-b24e-fd7c31c1b920,10,8.0,1.6,0.035,0.3,7.18,6.0,5.0,3.0,2.5,2.0,30.152,-13.948674218418818,28.508000000000003,-18.03803568886734
7370e841-8894-441e-9d29-1d696cb1e06e,11,8.0,1.6,0.035,0.3,7.2,6.0,5.0,3.0,2.5,2.0,30.164,-14.217823600068249,28.52,-17.88951714798796
930c9093-24a7-4cd0-a8d3-0d13a579c761,12,8.0,1.6,0.035,0.3,7.22,6.0,5.0,3.0,2.5,2.0,30.128,-14.26976325390087,28.508000000000003,-17.71078766079843
c3e9c9f4-a9ca-4a1e-a633-25f4ed22814f,13,8.0,1.6,0.035,0.3,7.24,6.0,5.0,3.0,2.5,2.0,30.128,-14.32521845915198,28.508000000000003,-17.55263531902463
bbda70e0-6f56-4a22-9099-dd06f31d7434,14,8.0,1.6,0.035,0.3,7.26,6.0,5.0,3.0,2.5,2.0,30.128,-14.462310818982257,28.508000000000003,-17.36380673015701
ad7a1f27-8f76-4797-b1f1-233f4bc6bc91,15,8.0,1.6,0.035,0.3,7.28,6.0,5.0,3.0,2.5,2.0,30.128,-14.866548056539957,28.496000000000002,-17.213224765951573
a1d7e7be-f6f9-4e59-9bdf-29c15d9d7494,16,8.0,1.6,0.035,0.3,7.3,6.0,5.0,3.0,2.5,2.0,30.14,-14.942602176939427,28.496000000000002,-17.04785404861028
576acd60-0f08-4358-b1c2-ba4379d7b76c,17,8.0,1.6,0.035,0.3,7.32,6.0,5.0,3.0,2.5,2.0,30.14,-14.86851897056874,28.484,-16.938316607485206
67366a5a-395e-41c7-8e8a-89ed9d310d96,18,8.0,1.6,0.035,0.3,7.34,6.0,5.0,3.0,2.5,2.0,30.08,-13.677708161102075,31.52,-16.47235171641387
2739a0a6-5005-431e-9273-38ab8140f78b,19,8.0,1.6,0.035,0.3,7.36,6.0,5.0,3.0,2.5,2.0,30.32,-12.937599395171016,31.532,-16.700835067856723
b0757bfd-2c5e-48f8-bcd4-54a7ab0a1ff8,20,8.0,1.6,0.035,0.3,7.38,6.0,5.0,3.0,2.5,2.0,30.128,-14.992480953215107,31.544,-16.784220933160082
3280df56-d2cc-466a-ab06-5fe418b631dc,21,8.0,1.6,0.035,0.3,7.4,6.0,5.0,3.0,2.5,2.0,30.572000000000003,-14.667827715833585,31.544,-16.80882498854554
3c0e6d38-fb33-4a14-94a1-d2c3c60afc1e,22,8.0,1.6,0.035,0.3,7.42,6.0,5.0,3.0,2.5,2.0,30.536,-15.810911450127206,31.556,-16.995295588867197
0c4df669-50b4-41e2-8165-de2d32d8eb39,23,8.0,1.6,0.035,0.3,7.44,6.0,5.0,3.0,2.5,2.0,30.548000000000002,-15.487637951251179,31.556,-17.114817479060115
c9c04e51-1cf5-4252-a356-2335b2f1786c,24,8.0,1.6,0.035,0.3,7.46,6.0,5.0,3.0,2.5,2.0,30.512,-15.665479079818228,31.532,-17.13652070232649
3c7b8c93-c170-4017-ad0d-42a0b46f2162,26,8.0,1.6,0.035,0.3,7.5,6.0,5.0,3.0,2.5,2.0,30.488,-16.580462754889638,31.532,-16.94738567602692
36b73c7c-70c5-4951-a6e6-8f770d3d9381,25,8.0,1.6,0.035,0.3,7.48,6.0,5.0,3.0,2.5,2.0,30.512,-16.770944624623365,31.556,-17.239827083773786
fa0b9130-1c88-41b0-a2ba-d3656fac6a7f,27,8.0,1.6,0.035,0.3,7.52,6.0,5.0,3.0,2.5,2.0,30.476,-16.944356770264836,31.532,-17.310033957757327
8ad585b9-3d87-41c7-a1e0-158fcaa3fd3b,28,8.0,1.6,0.035,0.3,7.54,6.0,5.0,3.0,2.5,2.0,30.5,-17.26864941489552,31.544,-17.289991718602632
fefa2db9-36e3-4cf5-93d1-acd7492e9029,29,8.0,1.6,0.035,0.3,7.56,6.0,5.0,3.0,2.5,2.0,30.5,-17.184549750636805,31.532,-17.1603441066664
36270791-a9b4-4664-853c-66b6a5ae4b8d,30,8.0,1.6,0.035,0.3,7.58,6.0,5.0,3.0,2.5,2.0,30.476,-18.094233999319574,31.532,-17.240541672624214
74b14a69-bbfc-4c8e-98b6-bbe01e65c1db,31,8.0,1.6,0.035,0.3,7.6,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.299907306833653,31.508000000000003,-17.13596452645302
bd56cd3f-91ea-4ace-b0d1-08064d263f4b,32,8.0,1.6,0.035,0.3,7.62,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.35793940166284,31.508000000000003,-17.17249876759402
